セクション,項目,沃尔沃S90插电式混动 2026款 插电式混动 四驱长续航智逸豪华版,沃尔沃S90插电式混动 2026款 插电式混动 四驱长续航智远豪华版,沃尔沃S90插电式混动 2026款 插电式混动 四驱长续航智雅豪华版,
,厂商指导价(元),49.99万 计算器,53.99万 计算器,61.39万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,–
基本参数,级别,中大型车,中大型车,中大型车,–
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2025-05-29,2025-05-29,2025-05-29,–
基本参数,WLTC纯电续航里程(km),80,80,80,–
基本参数,CLTC纯电续航里程(km),102,102,102,–
基本参数,电池慢充时间(小时),5,5,5,–
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,–
基本参数,最大功率(kW),335,335,335,–
基本参数,最大扭矩(N·m),709,709,709,–
基本参数,变速箱,8挡自动,8挡自动,8挡自动,–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,–
基本参数,发动机,2.0T 310马力 L4,2.0T 310马力 L4,2.0T 310马力 L4,–
基本参数,电动机(Ps),145,145,145,–
基本参数,长*宽*高(mm),5090*1879*1453,5090*1879*1453,5090*1879*1453,–
基本参数,官方0-100km/h加速(s),4.9,4.9,4.9,–
基本参数,最高车速(km/h),180,180,180,–
基本参数,WLTC综合油耗(L/100km),1.92,1.92,1.92,–
基本参数,最低荷电状态油耗(L/100km),6.2,6.2,6.2,–
基本参数,油电综合燃料消耗量(L/100km),3.93,3.93,3.93,–
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,–
基本参数,整备质量(kg),2103,2103,2103,–
基本参数,最大满载质量(kg),2620,2620,2620,–
车身,长度(mm),5090,5090,5090,–
车身,宽度(mm),1879,1879,1879,–
车身,高度(mm),1453,1453,1453,–
车身,轴距(mm),3061,3061,3061,–
车身,前轮距(mm),1628,1618,1618,–
车身,后轮距(mm),1629,1619,1619,–
车身,最小离地间隙(mm),150,150,150,–
车身,接近角(°),15,15,15,–
车身,离去角(°),17,17,17,–
车身,车身结构,三厢车,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 4,● 4,● 4,–
车身,座位数(个),● 5,● 5,● 5,–
车身,后备厢容积(L),436,436,436,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,B4204T56,B4204T56,B4204T56,–
发动机,排量(mL),1969,1969,1969,–
发动机,排量(L),2.0,2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),310,310,310,–
发动机,最大功率(kW),228,228,228,–
发动机,最大功率转速(rpm),6000,6000,6000,–
发动机,最大扭矩(N·m),400,400,400,–
发动机,最大扭矩转速(rpm),3000-4800,3000-4800,3000-4800,–
发动机,最大净功率(kW),228,228,228,–
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
发动机,燃油标号,95号,95号,95号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
电动机,后电动机型号,TZ220XS109,TZ220XS109,TZ220XS109,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),107,107,107,–
电动机,电动机总马力(Ps),145,145,145,–
电动机,电动机总扭矩(N·m),309,309,309,–
电动机,后电动机最大功率(kW),107,107,107,–
电动机,后电动机最大扭矩(N·m),309,309,309,–
电动机,系统综合功率(kW),335,335,335,–
电动机,系统综合功率(Ps),455,455,455,–
电动机,系统综合扭矩(N·m),709,709,709,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,后置,后置,后置,–
电动机,三电系统质保,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,–
电池/充电,电池类型,● 锂离子电池,● 锂离子电池,● 锂离子电池,–
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,–
电池/充电,WLTC纯电续航里程(km),80,80,80,–
电池/充电,CLTC纯电续航里程(km),102,102,102,–
电池/充电,CLTC综合续航(km),1412,1412,1412,–
电池/充电,电池能量(kWh),18.831,18.831,18.831,–
电池/充电,百公里耗电量(kWh/100km),17.3,17.3,17.3,–
电池/充电,电池慢充时间(小时),5,5,5,–
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,–
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,–
变速箱,简称,8挡自动,8挡自动,8挡自动,–
变速箱,挡位个数,8,8,8,–
变速箱,变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),–
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,–
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 255/40 R19,● 255/40 R19,● 255/40 R19,–
车轮制动,后轮胎规格,● 255/40 R19,● 255/40 R19,● 255/40 R19,–
车轮制动,备胎规格,● 无,● 无,● 无,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,–
被动安全,缺气保用轮胎,●,●,●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,–
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
主动安全,疲劳驾驶提示,●,●,●,–
主动安全,前方碰撞预警,●,●,●,–
主动安全,后方碰撞预警,●,●,●,–
主动安全,低速行车警告,●,●,●,–
主动安全,道路救援呼叫,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,可变悬架功能,-,"○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节",–
驾驶操控,空气悬架,-,○,○,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 2个,● 5个,● 5个,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● Pilot Assist,● Pilot Assist,● Pilot Assist,–
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,● 高德,–
驾驶功能,并线辅助,●,●,●,–
驾驶功能,车道保持辅助系统,●,●,●,–
驾驶功能,车道居中保持,●,●,●,–
驾驶功能,辅助泊车入位,-,-,-,–
外观/防盗,外观套件,● 豪华风格,● 豪华风格,● 豪华风格,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动后备厢,●,●,●,–
外观/防盗,感应后备厢,●,●,●,–
外观/防盗,发动机电子防盗,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,–
外观/防盗,远程启动功能,●,●,●,–
外观/防盗,电池预加热,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,●,●,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,转向辅助灯,-,-,●,–
车外灯光,转向头灯,-,-,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,后排侧隐私玻璃,-,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,-,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
天窗/玻璃,可加热喷水嘴,○,○,○,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 11.2英寸,● 11.2英寸,● 11.2英寸,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调",–
互联/智能化,语音助手唤醒词,● 你好，小沃,● 你好，小沃,● 你好，小沃,–
互联/智能化,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,–
互联/智能化,语音连续识别,●,●,●,–
互联/智能化,应用商店,●,●,●,–
互联/智能化,车载智能系统,● 安卓,● 安卓,● 安卓,–
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,–
互联/智能化,车联网,●,●,●,–
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,–
互联/智能化,OTA升级,●,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修",–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘加热,○,○,○,–
方向盘/内后视镜,方向盘记忆,-,-,-,–
