セクション,項目,极狐问道V9 2026款 1250 Max,极狐问道V9 2026款 1250 Ultra,极狐问道V9 2026款 1330 Ultra,极狐问道V9 2026款 1330 Ultra+
,厂商指导价(元),21.48万 计算器,24.78万 计算器,25.98万 计算器,26.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,增程式,增程式,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-05-27,2026-05-27,2026-05-27,2026-05-27
基本参数,WLTC纯电续航里程(km),166,166,236,236
基本参数,CLTC纯电续航里程(km),216,216,310,310
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25
基本参数,电池慢充时间(小时),5,5,6.5,6.5
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80
基本参数,最大功率(kW),227,227,227,227
基本参数,最大扭矩(N·m),320,320,320,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力
基本参数,电动机(Ps),309,309,309,309
基本参数,长*宽*高(mm),5300*1980*1850,5300*1980*1850,5300*1980*1850,5300*1980*1850
基本参数,官方0-100km/h加速(s),7.9,7.9,8.4,8.4
基本参数,最高车速(km/h),190,190,190,190
基本参数,WLTC综合油耗(L/100km),0.78,0.78,0.45,0.45
基本参数,最低荷电状态油耗(L/100km)WLTC,6.85,6.85,6.88,6.88
基本参数,电能当量燃料消耗量(L/100km),2.52,2.52,2.52,2.52
基本参数,油电综合燃料消耗量(L/100km),3.3,3.3,2.97,2.97
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),2525,2525,2580,2580
基本参数,最大满载质量(kg),3080,3080,3135,3135
车身,长度(mm),5300,5300,5300,5300
车身,宽度(mm),1980,1980,1980,1980
车身,高度(mm),1850,1850,1850,1850
车身,轴距(mm),3200,3200,3200,3200
车身,前轮距(mm),1700,1700,1700,1700
车身,后轮距(mm),1728,1728,1728,1728
车身,接近角(°),14,14,14,14
车身,离去角(°),16,16,16,16
车身,最小转弯半径(m),5.7,5.7,5.7,5.7
车身,车身结构,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7
车身,油箱容积(L),60,60,60,60
车身,后备厢容积(L),450-2750,450-2750,450-2750,450-2750
车身,风阻系数(Cd),0.29,0.29,0.29,0.29
发动机,发动机型号,A156T2H,A156T2H,A156T2H,A156T2H
发动机,排量(mL),1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,160
发动机,最大功率(kW),118,118,118,118
发动机,最大功率转速(rpm),5000,5000,5000,5000
发动机,最大扭矩(N·m),235,235,235,235
发动机,最大扭矩转速(rpm),2250-4000,2250-4000,2250-4000,2250-4000
发动机,最大净功率(kW),115,115,115,115
发动机,能源类型,增程式,增程式,增程式,增程式
发动机,燃油标号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,后电动机品牌,华为数字,华为数字,华为数字,华为数字
电动机,后电动机型号,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),227,227,227,227
电动机,电动机总马力(Ps),309,309,309,309
电动机,电动机总扭矩(N·m),320,320,320,320
电动机,后电动机最大功率(kW),227,227,227,227
电动机,后电动机最大扭矩(N·m),320,320,320,320
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,骁遥电池,骁遥电池,骁遥电池,骁遥电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),166,166,236,236
电池/充电,CLTC纯电续航里程(km),216,216,310,310
电池/充电,WLTC综合续航(km),1050,1050,1118,1118
电池/充电,CLTC综合续航(km),1250,1250,1330,1330
电池/充电,电池能量(kWh),37,37,53.4,53.4
电池/充电,电池能量密度(Wh/kg),132.02,132.02,176.74,176.74
电池/充电,百公里耗电量(kWh/100km),21.7,21.7,21.7,21.7
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,高压平台（V）,400,400,400,400
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80
电池/充电,电池慢充时间(小时),5,5,6.5,6.5
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.5,3.5,3.5,3.5
电池/充电,对外直流放电功率(kW),4,4,4,4
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,单踏板模式,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,● 悬架软硬调节
驾驶操控,电磁感应悬架,-,-,-,●
驾驶操控,魔毯智能悬架,-,-,-,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 高通骁龙8155,● 高通骁龙8775,● 高通骁龙8775,● 高通骁龙8775
驾驶硬件,前方感知摄像头,● 单目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 5个,● 7个,● 7个,● 7个
驾驶硬件,车内摄像头数量,-,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● 北汽元境辅助驾驶系统,● 北汽元境辅助驾驶系统,● 北汽元境辅助驾驶系统
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,-,●,●,●
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●
驾驶功能,记忆泊车,-,●,●,●
驾驶功能,循迹倒车,-,●,●,●
驾驶功能,辅助变道,-,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●
驾驶功能,信号灯识别,-,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●
驾驶功能,辅助驾驶路段,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,-
车外灯光,自适应远近光,-,●,●,●
车外灯光,自动头灯,-,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,-,●,●,●
车外灯光,辅助驾驶灯,-,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,-,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,"● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 小狐狸,● 小狐狸,● 小狐狸,● 小狐狸
互联/智能化,语音免唤醒词,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 六区域,● 六区域,● 六区域,● 六区域
互联/智能化,语音连续识别,●,●,●,●
互联/智能化,可见即可说,●,●,●,●
互联/智能化,面部识别,-,●,●,●
互联/智能化,声纹识别,●,●,●,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车载智能系统,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8775,● 高通骁龙8775,● 高通骁龙8775
互联/智能化,后排液晶屏幕,-,●,●,●
互联/智能化,后排液晶屏幕尺寸,-,● 21.4英寸,● 21.4英寸,● 21.4英寸
互联/智能化,后排液晶屏幕分辨率,-,● 3036x1708,● 3036x1708,● 3036x1708
互联/智能化,后排多媒体屏幕数量,-,● 1个,● 1个,● 1个
互联/智能化,后排控制多媒体,-,●,●,●
互联/智能化,车机系统内存(GB),● 16,● 24,● 24,● 24
互联/智能化,车机系统存储(GB),● 128,● 256,● 256,● 256
互联/智能化,多指飞屏操控,-,●,●,●
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排3个,● 前排2个/后排3个,● 前排2个/后排3个,● 前排2个/后排3个
车内充电,USB/Type-C最大充电功率,● 66W,● 66W,● 66W,● 66W
车内充电,220V/230V电源,●,●,●,●
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,"● 真皮
● 仿皮"
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,● 加热(仅驾驶位),"● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,-,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,●,●,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节"
座椅配置,第二排座椅电动调节,●,●,●,●
座椅配置,第二排座椅功能,● 加热,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,后排小桌板,-,●,●,●
座椅配置,零重力座椅,-,● 第二排,-,● 第二排
座椅配置,第二排独立座椅,●,●,●,●
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,第三排座椅电动调节,-,●,-,●
座椅配置,第三排座椅功能,-,● 加热,-,● 加热
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 20喇叭,● 20喇叭,● 22喇叭
音响/车内灯光,功放最大输出功率（W）,-,● 1280,● 1280,● 1280
音响/车内灯光,扬声器布局,-,● 7.1.6,● 7.1.6,● 7.1.6
音响/车内灯光,触摸式阅读灯,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,-,●,●,●
空调/冰箱,车内PM2.5过滤装置,-,●,●,●
空调/冰箱,空气质量监测,-,●,●,●
空调/冰箱,车载冰箱,-,●,●,●
特色配置,抗醛苯净味座舱,●,●,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
