セクション,セクション_ja,項目,項目_ja,2024年モデル V 300 リーダーエディション,2024年モデル V 300 プレミアムエディション,2024年モデル V 300 L ロングホイールベース プレミアムエディション,2024年モデル V 300 L ロングホイールベース ラグジュアリーエディション
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"49.68万元（日本円 約10,432,800円）","60.98万元（日本円 約12,805,800円）","63.98万元（日本円 約13,435,800円）","66.98万元（日本円 約14,065,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,福建ベンツ,福建ベンツ,福建ベンツ,福建ベンツ
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024-08-24,2024-08-24,2024-08-24,2024-08-24
基本参数,基本仕様,最大功率(kW),最大出力(kW),170,170,170,170
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),370,370,370,370
基本参数,基本仕様,变速箱,トランスミッション,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,2.0T 231馬力 L4,2.0T 231馬力 L4,2.0T 231馬力 L4,2.0T 231馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5140×1928×1880mm,5140×1928×1920mm,5370×1928×1920mm,5370×1928×1920mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,185,185
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.66,8.82,8.88,8.88
基本参数,基本仕様,整车质保,車両保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2460,2560,2600,2600
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3100,3100,3100,3100
车身,車体,长度(mm),全長(mm),5140,5140,5370,5370
车身,車体,宽度(mm),全幅(mm),1928,1928,1928,1928
车身,車体,高度(mm),全高(mm),1880,1920,1920,1920
车身,車体,轴距(mm),ホイールベース(mm),3200,3200,3430,3430
车身,車体,前轮距(mm),前トレッド(mm),1666,1666,1666,1666
车身,車体,后轮距(mm),後トレッド(mm),1646,1646,1646,1646
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),12,12,12,12
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),70,70,70,70
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,254 920,254 920,254 920,254 920
发动机,エンジン,排量(mL),排気量(mL),1999,1999,1999,1999
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),231,231,231,231
发动机,エンジン,最大功率(kW),最大出力(kW),170,170,170,170
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),370,370,370,370
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4000,2000-4000,2000-4000,2000-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),170,170,170,170
发动机,エンジン,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）
