セクション,項目,北京越野BJ30 2026款 旅行家 1.5T 混动两驱版,北京越野BJ30 2026款 旅行家 1.5T 混动标准版,北京越野BJ30 2026款 旅行家 1.5T 混动进阶版,北京越野BJ30 2026款 旅行家 1.5T 混动营运版,北京越野BJ30 2026款 旅行家 1.5T DCT两驱标准版,北京越野BJ30 2026款 旅行家 1.5T DCT两驱进阶版,北京越野BJ30 2026款 旅行家 1.5T DCT两驱七座版,北京越野BJ30 2024款 1.5T 轻野Air版,北京越野BJ30 2024款 1.5T 轻野Pro版,北京越野BJ30 2024款 1.5T 轻野Max版,北京越野BJ30 2024款 1.5T 魔核电驱标准版,北京越野BJ30 2024款 1.5T 魔核电驱进阶版
,厂商指导价(元),12.19万 计算器,12.99万 计算器,13.69万 计算器,13.69万 计算器,9.99万 计算器,10.99万 计算器,11.49万 计算器,9.99万 计算器,10.99万 计算器,11.99万 计算器,12.59万 计算器,13.69万 计算器
,经销商报价,10.19万起,10.99万起,11.69万起,11.69万起,8.49万起,9.49万起,9.99万起,8.49万起,9.49万起,10.49万起,10.59万起,11.69万起
基本参数,厂商,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-09-27,2025-09-27,2025-09-27,2025-11-25,2025-09-27,2025-09-27,2025-09-27,2024-05-22,2024-05-22,2024-05-22,2024-05-22,2024-05-22
基本参数,最大功率(kW),246,301,301,301,138,138,138,138,138,138,246,301
基本参数,最大扭矩(N·m),550,685,685,685,305,305,305,305,305,305,550,685
基本参数,变速箱,2挡DHT,2挡DHT,2挡DHT,2挡DHT,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,2挡DHT,2挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 158马力 L4,1.5T 158马力 L4,1.5T 158马力 L4,1.5T 158马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 158马力 L4,1.5T 158马力 L4
基本参数,电动机(Ps),177,252,252,252,-,-,-,-,-,-,177,252
基本参数,长*宽*高(mm),4730*1910*1790,4730*1910*1790,4730*1910*1790,4730*1910*1790,4730*1910*1790,4730*1910*1790,4730*1910*1790,4730*1910*1757,4730*1910*1790,4730*1910*1790,4730*1910*1790,4730*1910*1790
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),170,170,170,100,190,190,190,190,190,190,170,170
基本参数,WLTC综合油耗(L/100km),5.85,6.45,6.45,6.45,8.06,8.06,8.2,8.06,8.06,8.06,5.85,6.45
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,整备质量(kg),1690,1770,1770,1770,1575,1575,1660,1575,1575,1600,1690,1770
基本参数,最大满载质量(kg),2123,2205,2205,2205,2034,2034,2185,2034,2034,2034,2123,2205
车身,长度(mm),4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730
车身,宽度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,高度(mm),1790,1790,1790,1790,1790,1790,1790,1757,1790,1790,1790,1790
车身,轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
车身,前轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,后轮距(mm),1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
车身,满载最小离地间隙(mm),215,215,215,215,215,215,215,215,215,215,215,215
车身,接近角(°),25,25,25,25,25,25,25,25,25,25,25,25
车身,离去角(°),30,30,30,30,30,30,30,30,30,30,30,30
车身,纵向通过角(°),21,21,21,21,21,21,21,21,21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 7,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,51,51,51,60,60,60,60,60,60,60,51
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,A156T2H-H1,A156T2H-H1,A156T2H-H1,A156T2H-H1,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H-H1,A156T2H-H1
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),158,158,158,158,188,188,188,188,188,188,158,158
发动机,最大功率(kW),116,116,116,116,138,138,138,138,138,138,116,116
