セクション,セクション_ja,項目,項目_ja,2026年モデル 増程行政版 5人乗り,2024年モデル 増程標準版 5人乗り,2024年モデル 増程上級版 5人乗り,2024年モデル 増程上級版 7人乗り,2024年モデル 増程珠峰版 5人乗り,2024年モデル 増程珠峰上級版 5人乗り,2026年モデル 享野700
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.58万元（日本円 約6,211,800円）","25.98万元（日本円 約5,455,800円）","27.98万元（日本円 約5,875,800円）","28.58万元（日本円 約6,001,800円）","30.18万元（日本円 約6,337,800円）","30.48万元（日本円 約6,400,800円）",预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"29.58万元（日本円 約6,211,800円）","24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","27.58万元（日本円 約5,791,800円）","29.18万元（日本円 約6,127,800円）","29.48万元（日本円 約6,190,800円）",暂无
基本参数,基本仕様,厂商,メーカー,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-11-30,2024-08-20,2024-08-20,2024-08-20,2025-04-03,2025-04-03,-
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),125,125,125,125,125,125,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),152,152,152,152,152,152,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),403,403,403,403,403,403,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),655,655,655,655,655,655,-
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),548,548,548,548,548,548,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5040×1955×1925mm,5040×1955×1925mm,5040×1955×1925mm,5040×1955×1925mm,5040×1955×1925mm,5040×1955×1925mm,5040×1959×1926mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.8,5.8,5.8,5.8,5.8,5.8,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.43,1.3,1.3,1.3,1.3,1.3,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,8.42,8.75,8.75,8.75,8.75,8.75,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),2.74,2.74,2.74,2.74,2.74,2.74,-
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2750,2750,2750,2800,2750,2750,2860
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3325,3325,3325,3325,3325,3325,3235
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総質量(kg),-,2500,2500,2500,2500,2500,2500
车身,車体,长度(mm),全長(mm),5040,5040,5040,5040,5040,5040,5040
车身,車体,宽度(mm),全幅(mm),1955,1955,1955,1955,1955,1955,1959
车身,車体,高度(mm),全高(mm),1925,1925,1925,1925,1925,1925,1926
车身,車体,轴距(mm),ホイールベース(mm),2820,2820,2820,2820,2820,2820,2820
车身,車体,前轮距(mm),前トレッド(mm),1620,1620,1620,1620,1620,1620,1620
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1640,1640,1640,1640,1640
车身,車体,最小离地间隙(mm),最低地上高(mm),215,215,215,215,215,215,-
车身,車体,接近角(°),アプローチアングル(°),30,30,30,30,30,30,26
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24,24,23
车身,車体,纵向通过角(°),縦方向通過角(°),23,23,23,23,23,23,-
车身,車体,最大爬坡度(%),最大登坂能力(%),100,100,100,100,100,100,-
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.5,5.5,-
车身,車体,最大涉水深度(mm),最大渡河深度(mm),800,800,800,800,800,800,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),82,82,82,82,82,82,-
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),188,188,188,188,188,188,188
发动机,エンジン,最大功率(kW),最大出力(kW),138,138,138,138,138,138,138
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),130,130,130,130,130,130,130
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,-
电动机,モーター,后电动机型号,後モーター型式,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,-
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),403,403,403,403,403,403,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),548,548,548,548,548,548,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),655,655,655,655,655,655,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),153,153,153,153,153,153,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),250,250,250,250,250,250,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),403,403,403,403,403,403,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),548,548,548,548,548,548,-
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),655,655,655,655,655,655,-
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証
电动机,モーター,三电首任车主质保政策,三電初回車主保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製,● 時代広汽製
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),125,125,125,125,125,125,-
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),152,152,152,152,152,152,-
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1200,1200,1200,1200,1200,1200,-
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),40.3,40.3,40.3,40.3,40.3,40.3,-
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),24.2,24.2,24.2,24.2,24.2,24.2,-
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),60,60,60,60,60,60,-
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,-
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,-
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクタ位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクタ位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,3.5,3.5,3.5,3.5,-
电池/充电,バッテリー／充電,对外直流放电功率(kW),外部直流放電出力(kW),6,6,6,6,6,6,-
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
