セクション,項目,奔驰EQE 2026款 500 4MATIC 先锋版,奔驰EQE 2026款 500 4MATIC 豪华版,奔驰EQE 2026款 500 4MATIC 旗舰版,奔驰EQE 2025款 500 4MATIC 先锋版,奔驰EQE 2025款 500 4MATIC 豪华版,奔驰EQE 2025款 500 4MATIC 旗舰版
,厂商指导价(元),47.80万 计算器,49.60万 计算器,62.70万 计算器,47.80万 计算器,49.60万 计算器,62.70万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-11-26,2025-11-26,2025-11-26,2024-11-15,2024-11-15,2024-11-15
基本参数,CLTC纯电续航里程(km),681,681,681,681,681,681
基本参数,电池快充时间(小时),0.62,0.62,0.62,0.62,0.62,0.62
基本参数,电池慢充时间(小时),13,13,13,13,13,13
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80
基本参数,电池慢充电量范围(%),10-100,10-100,10-100,10-100,10-100,10-100
基本参数,最大功率(kW),300,300,300,300,300,300
基本参数,最大扭矩(N·m),858,858,858,858,858,858
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),408,408,408,408,408,408
基本参数,长*宽*高(mm),4969*1906*1514,4969*1906*1514,4969*1906*1514,4969*1906*1514,4969*1906*1514,4969*1906*1514
基本参数,官方0-100km/h加速(s),4.9,4.9,4.9,4.9,4.9,4.9
基本参数,最高车速(km/h),200,200,200,200,200,200
基本参数,电能当量燃料消耗量(L/100km),1.76,1.76,1.76,1.76,1.76,1.76
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),2515,2515,2515,2515,2515,2515
基本参数,最大满载质量(kg),2970,2970,2970,2970,2970,2970
车身,长度(mm),4969,4969,4969,4969,4969,4969
车身,宽度(mm),1906,1906,1906,1906,1906,1906
车身,高度(mm),1514,1514,1514,1514,1514,1514
车身,轴距(mm),3120,3120,3120,3120,3120,3120
车身,前轮距(mm),1639,1634,1634,1639,1634,1634
车身,后轮距(mm),1650,1645,1645,1650,1645,1645
车身,接近角(°),15,15,15,15,15,15
车身,离去角(°),19,19,19,19,19,19
车身,最小转弯半径(m),6.25,6.25,5.35,6.25,6.25,5.35
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),430,430,430,430,430,430
车身,风阻系数(Cd),0.22,0.22,0.22,0.22,0.22,0.22
电动机,前电动机型号,EM0030,EM0030,EM0030,EM0030,EM0030,EM0030
电动机,后电动机型号,EM0027,EM0027,EM0027,EM0027,EM0027,EM0027
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),300,300,300,300,300,300
电动机,电动机总马力(Ps),408,408,408,408,408,408
电动机,电动机总扭矩(N·m),858,858,858,858,858,858
电动机,前电动机最大功率(kW),135,135,135,135,135,135
电动机,前电动机最大扭矩(N·m),302,302,302,302,302,302
电动机,后电动机最大功率(kW),215,215,215,215,215,215
电动机,后电动机最大扭矩(N·m),556,556,556,556,556,556
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 北京奔驰,● 北京奔驰,● 北京奔驰,● 北京奔驰,● 北京奔驰,● 北京奔驰
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),681,681,681,681,681,681
电池/充电,电池能量(kWh),96.1,96.1,96.1,96.1,96.1,96.1
电池/充电,电池能量密度(Wh/kg),172,172,172,172,172,172
电池/充电,百公里耗电量(kWh/100km),15.2,15.2,15.2,15.2,15.2,15.2
电池/充电,电池组质保,● 十年或25万公里,● 十年或25万公里,● 十年或25万公里,● 十年或25万公里,● 十年或25万公里,● 十年或25万公里
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),122,122,122,122,122,122
电池/充电,电池快充时间(小时),0.62,0.62,0.62,0.62,0.62,0.62
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,电池慢充时间(小时),13,13,13,13,13,13
电池/充电,电池慢充电量范围(%),10-100,10-100,10-100,10-100,10-100,10-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/45 R19,● 255/45 R19,● 255/40 R20,● 255/45 R19,● 255/45 R19,● 255/40 R20
车轮制动,后轮胎规格,● 255/45 R19,● 255/45 R19,● 255/40 R20,● 255/45 R19,● 255/45 R19,● 255/40 R20
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ○ (3100元),前 ● /后 ○ (3100元),前 ● /后 ○ (3100元),前 ● /后 ○ (3100元),前 ● /后 ○ (3100元),前 ● /后 ○ (3100元)
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●,●
被动安全,被动行人保护,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●
主动安全,DOW开门预警,○,●,●,○,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,○,●,●,○,●,●
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●
驾驶操控,整体主动转向系统,○ (1.17万元),○ (1.17万元),●,-,-,●
驾驶操控,后轮转向角度(°),○ ±10,○ ±10,● ±10,-,-,● ±10
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,"● 单目
○ 双目",● 双目,● 双目,"● 单目
○ 双目",● 双目,● 双目
驾驶硬件,摄像头数量,"● 5个
○ 6个",● 6个,● 6个,"● 5个
○ 6个",● 6个,● 6个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,"● 1个
○ 5个",● 5个,● 5个,"● 1个
○ 5个",● 5个,● 5个
驾驶功能,巡航系统,"● 自适应巡航
○ 全速自适应巡航",● 全速自适应巡航,● 全速自适应巡航,"● 自适应巡航
○ 全速自适应巡航",● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,○ L2,● L2,● L2,○ L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,○,●,●,○,●,●
驾驶功能,道路交通标识识别,○,●,●,○,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●
驾驶功能,辅助变道,○,●,●,○,●,●
驾驶功能,辅助匝道自动驶出(入),○,●,●,-,-,-
驾驶功能,辅助驾驶路段,○ 高速路段,● 高速路段,● 高速路段,-,-,-
外观/防盗,外观套件,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● UWB数字钥匙","● 遥控钥匙
● UWB数字钥匙","● 遥控钥匙
● UWB数字钥匙","● 遥控钥匙
● UWB数字钥匙","● 遥控钥匙
● UWB数字钥匙","● 遥控钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,● 数字式,-,-,● 数字式
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
车外灯光,场景灯语,-,-,○,-,-,-
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控OLED屏,● 触控OLED屏,● 触控OLED屏,● 触控OLED屏,● 触控OLED屏,● 触控OLED屏
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 17.7英寸,● 12.8英寸,● 12.8英寸,● 17.7英寸
互联/智能化,中控屏幕像素密度,-,-,● 201PPI,-,-,● 201PPI
互联/智能化,副驾娱乐屏尺寸,-,-,● 12.3英寸,-,-,● 12.3英寸
互联/智能化,副驾屏幕类型,-,-,● OLED,-,-,● OLED
互联/智能化,副驾屏幕像素密度,-,-,● 209PPI,-,-,● 209PPI
