セクション,セクション_ja,項目,項目_ja,2025年モデル 450智恵版,2025年モデル 520智恵版,2025年モデル 520智行版,2025年モデル 450智恵出行版,2025年モデル 520智恵出行版,2025年モデル 520智行出行版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.38万元（日本円 約2,179,800円）","10.98万元（日本円 約2,305,800円）","11.58万元（日本円 約2,431,800円）","12.98万元（日本円 約2,725,800円）","13.58万元（日本円 約2,851,800円）","13.98万元（日本円 約2,935,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,BYD,BYD,BYD,BYD,BYD,BYD
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-05-17,2025-05-17,2025-05-17,2025-08-15,2025-08-15,2025-08-15
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),450,520,520,450,520,520
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.47,0.43,0.43,0.47,0.43,0.43
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),100,100,100,100,100,100
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),180,180,180,180,180,180
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),136,136,136,136,136,136
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4780×1900×1515,4780×1900×1515,4780×1900×1515,4780×1900×1515,4780×1900×1515,4780×1900×1515
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(s),4.7,4.9,4.9,4.7,4.9,4.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),150,150,150,150,150,150
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.32,1.37,1.37,1.32,1.37,1.37
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 1年または10万km,● 1年または10万km,● 1年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1499,1566,1566,1499,1566,1566
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1924,1991,1991,1924,1991,1991
车身,車体,长度(mm),全長(mm),4780,4780,4780,4780,4780,4780
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1515,1515,1515,1515,1515,1515
车身,車体,轴距(mm),ホイールベース(mm),2820,2820,2820,2820,2820,2820
车身,車体,前轮距(mm),前トレッド(mm),1608,1608,1608,1608,1608,1608
车身,車体,后轮距(mm),後トレッド(mm),1616,1616,1616,1616,1616,1616
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16
