セクション,項目,北京越野BJ60增程 2026款 增程行政版 5座,北京越野BJ60增程 2026款 增程珠峰版 5座,北京越野BJ60增程 2024款 增程标准版 5座,北京越野BJ60增程 2024款 增程进阶版 5座,北京越野BJ60增程 2024款 增程进阶版 7座,北京越野BJ60增程 2024款 增程珠峰进阶版 5座,北京越野BJ60增程 2026款 享野700
,厂商指导价(元),29.58万 计算器,30.18万 计算器,25.98万 计算器,27.98万 计算器,28.58万 计算器,30.48万 计算器,预售
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-30,2026-05-15,2024-08-20,2024-08-20,2024-08-20,2025-04-03,-
基本参数,WLTC纯电续航里程(km),125,125,125,125,125,125,-
基本参数,CLTC纯电续航里程(km),152,152,152,152,152,152,-
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,-
基本参数,最大功率(kW),403,403,403,403,403,403,-
基本参数,最大扭矩(N·m),655,655,655,655,655,655,-
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4
基本参数,电动机(Ps),548,548,548,548,548,548,-
基本参数,长*宽*高(mm),5040*1955*1925,5040*1955*1925,5040*1955*1925,5040*1955*1925,5040*1955*1925,5040*1955*1925,5040*1959*1926
基本参数,官方0-100km/h加速(s),5.8,5.8,5.8,5.8,5.8,5.8,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.43,1.3,1.3,1.3,1.3,1.3,-
基本参数,最低荷电状态油耗(L/100km)WLTC,8.42,8.75,8.75,8.75,8.75,8.75,-
基本参数,电能当量燃料消耗量(L/100km),2.74,2.74,2.74,2.74,2.74,2.74,-
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,整备质量(kg),2750,2750,2750,2750,2800,2750,2860
基本参数,最大满载质量(kg),3325,3325,3325,3325,3325,3325,3235
基本参数,准拖挂车总质量(kg),-,2500,2500,2500,2500,2500,2500
车身,长度(mm),5040,5040,5040,5040,5040,5040,5040
车身,宽度(mm),1955,1955,1955,1955,1955,1955,1959
车身,高度(mm),1925,1925,1925,1925,1925,1925,1926
车身,轴距(mm),2820,2820,2820,2820,2820,2820,2820
车身,前轮距(mm),1620,1620,1620,1620,1620,1620,1620
车身,后轮距(mm),1640,1640,1640,1640,1640,1640,1640
车身,最小离地间隙(mm),215,215,215,215,215,215,-
车身,接近角(°),30,30,30,30,30,30,26
车身,离去角(°),24,24,24,24,24,24,23
车身,纵向通过角(°),23,23,23,23,23,23,-
车身,最大爬坡度(%),100,100,100,100,100,100,-
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,-
车身,最大涉水深度(mm),800,800,800,800,800,800,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 7,● 5,● 5
车身,油箱容积(L),82,82,82,82,82,82,-
车身,后备厢容积(L),-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),188,188,188,188,188,188,188
发动机,最大功率(kW),138,138,138,138,138,138,138
发动机,最大功率转速(rpm),-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-
发动机,最大净功率(kW),130,130,130,130,130,130,130
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,-
电动机,后电动机型号,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),403,403,403,403,403,403,-
电动机,电动机总马力(Ps),548,548,548,548,548,548,-
电动机,电动机总扭矩(N·m),655,655,655,655,655,655,-
电动机,前电动机最大功率(kW),153,153,153,153,153,153,-
电动机,后电动机最大功率(kW),250,250,250,250,250,250,-
电动机,系统综合功率(kW),403,403,403,403,403,403,-
电动机,系统综合马力(Ps),548,548,548,548,548,548,-
电动机,系统综合扭矩(N·m),655,655,655,655,655,655,-
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 时代广汽
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),125,125,125,125,125,125,-
电池/充电,CLTC纯电续航里程(km),152,152,152,152,152,152,-
电池/充电,CLTC综合续航(km),1200,1200,1200,1200,1200,1200,-
