セクション,セクション_ja,項目,項目_ja,2026年モデル 500 4MATIC 先鋒版,2026年モデル 500 4MATIC 豪華版,2026年モデル 500 4MATIC フラッグシップ版,2024年モデル 500 4MATIC 先鋒版,2024年モデル 500 4MATIC 豪華版,2024年モデル 500 4MATIC フラッグシップ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"48.60万元（日本円 約10,206,000円）","51.00万元（日本円 約10,710,000円）","63.06万元（日本円 約13,242,600円）","48.60万元（日本円 約10,206,000円）","51.00万元（日本円 約10,710,000円）","63.06万元（日本円 約13,242,600円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"25.70万元（日本円 約5,397,000円）","28.10万元（日本円 約5,901,000円）","40.16万元（日本円 約8,433,600円）","25.60万元（日本円 約5,376,000円）","28.00万元（日本円 約5,880,000円）","40.06万元（日本円 約8,412,600円）"
基本参数,基本仕様,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.11,2025.11,2025.11,2024.04,2024.04,2024.04
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),609,609,609,609,609,609
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58,0.58,0.58
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),13,13,13,13,13,13
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,10-80,80,80,80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),100,100,100,100,100,100
基本参数,基本仕様,最大功率(kW),最大出力(kW),300,300,300,300,300,300
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),858,858,858,858,858,858
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),408,408,408,408,408,408
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4880*2032*1679,4880*2032*1679,4880*2032*1679,4880*2032*1679,4880*2032*1679,4880*2032*1679
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.1,5.1,5.1,5.1,5.1,5.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.97,1.97,1.97,1.88,1.92,1.92
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限
基本参数,基本仕様,整备质量(kg),車両重量(kg),2560,2560,2560,2560,2560,2560
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3065,3065,3065,3065,3065,3065
车身,車体,长度(mm),全長(mm),4880,4880,4880,4880,4880,4880
车身,車体,宽度(mm),全幅(mm),2032,2032,2032,2032,2032,2032
车身,車体,高度(mm),全高(mm),1679,1679,1679,1679,1679,1679
车身,車体,轴距(mm),ホイールベース(mm),3030,3030,3030,3030,3030,3030
车身,車体,前轮距(mm),前トレッド(mm),1649,1649,1649,1649,1649,1649
车身,車体,后轮距(mm),後トレッド(mm),1662,1662,1662,1662,1662,1662
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),520-1675,520-1675,520-1675,520-1675,520-1675,520-1675
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.25,0.25,0.25,0.25,0.25,0.25
电动机,モーター,前电动机型号,前モーター型式,EM0030,EM0030,EM0030,EM0030,EM0030,EM0030
电动机,モーター,后电动机型号,後モーター型式,EM0027,EM0027,EM0027,EM0027,EM0027,EM0027
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),300,300,300,300,300,300
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),408,408,408,408,408,408
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),858,858,858,858,858,858
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),135,135,135,135,135,135
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),215,215,215,215,215,215
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フーノンテクノロジー,● フーノンテクノロジー,● フーノンテクノロジー,● フーノンテクノロジー,● フーノンテクノロジー,● フーノンテクノロジー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),609,609,609,609,609,609
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),96.1,96.1,96.1,96.1,96.1,96.1
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),172.0,172.0,172.0,172.0,172.0,172.0
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),17.0,17.0,17.0,17.0,17.0,17.0
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 10年または25万km,● 10年または25万km,● 10年または25万km,● 10年または25万km,● 10年または25万km,● 10年または25万km
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58,0.58,0.58
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),13,13,13,13,13,13
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,10-80,80,80,80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),100,100,100,100,100,100
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
