セクション,セクション_ja,項目,項目_ja,2026年モデル 007+ 増程 308 Ultra+レーザーレーダー版,2026年モデル 007+ 純電 650 Ultra+レーザーレーダー版,2026年モデル 純電 610 フラッシュ版,2026年モデル 007+ 純電 565 Ultra+4WDレーザーレーダー版,2025年モデル 増程 230Max クルーズ版,2025年モデル 純電 550Air クルーズ版,2025年モデル 純電 550Max クルーズ版,2025年モデル 純電 550 行政版,2025年モデル 純電 650Max クルーズ版,2025年モデル 純電 650 行政版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.49万元（日本円 約3,042,900円）","14.49万元（日本円 約3,042,900円）","14.49万元（日本円 約3,042,900円）","15.49万元（日本円 約3,252,900円）","13.09万元（日本円 約2,748,900円）","11.59万元（日本円 約2,433,900円）","13.09万元（日本円 約2,748,900円）","15.99万元（日本円 約3,357,900円）","13.49万元（日本円 約2,832,900円）","17.99万元（日本円 約3,777,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"14.19万元（日本円 約2,979,900円）","14.19万元（日本円 約2,979,900円）","14.49万元（日本円 約3,042,900円）","15.19万元（日本円 約3,189,900円）","12.59万元（日本円 約2,643,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","15.99万元（日本円 約3,357,900円）","12.99万元（日本円 約2,727,900円）","17.99万元（日本円 約3,777,900円）"
基本参数,基本仕様,厂商,メーカー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,純電動,純電動,純電動,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス基準）,-,-,-,国VI（排ガス基準）,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025-11-10,2025-11-10,2026-03-28,2025-11-10,2025-11-10,2025-11-10,2025-11-10,2025-06-04,2025-11-10,2025-06-04
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),225,-,-,-,170,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),308,650,610,565,230,550,550,550,650,650
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.27,0.27,0.27,0.2,0.27,0.27,0.27,0.27,0.27
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),160,200,200,400,160,160,160,160,200,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,620,310,310,310,310,310,310
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 105馬力,-,純電動,-,レンジエクステンダー 105馬力,-,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),218,272,272,544,218,218,218,218,272,272
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4880×1915×1476（mm）,4880×1915×1476（mm）,4890×1915×1476（mm）,4880×1915×1476（mm）,4880×1895×1476（mm）,4880×1895×1470（mm）,4880×1895×1476（mm）,4880×1895×1470（mm）,4880×1895×1476（mm）,4880×1895×1470（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.5,5.7,5.7,3.7,7.2,6.8,6.8,6.8,5.7,5.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),171,171,171,171,171,171,171,171,171,171
基本参数,基本仕様,CLTC综合油耗(L/100km),CLTC総合燃費(L/100km),0.53,-,-,-,0.53,-,-,-,-,-
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.43,-,-,-,0.56,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,4.73,-,-,-,4.73,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,4.2,-,-,-,4.2,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,1.46,1.58,1.76,-,1.38,1.38,1.38,1.46,1.46
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力総合燃料消費量(L/100km),2.37,-,-,-,2.43,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-
