セクション,セクション_ja,項目,項目_ja,2025年モデル 35TFSI 進取スポーティー,2025年モデル 35TFSI ファッショナブルスポーティー,2024年モデル 改良版 35TFSI 進取エレガント,2024年モデル 改良版 35TFSI 進取スポーティー,2024年モデル 改良版 35TFSI ファッショナブルエレガント,2024年モデル 改良版 35TFSI ファッショナブルスポーティー,2024年モデル 改良版 35 TFSI RSパッケージ スポーツ,2024年モデル 改良版 35TFSI ラグジュアリーエレガント,2024年モデル 改良版 35TFSI ラグジュアリースポーティー
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"17.18万元（日本円 約3,607,800円）","18.58万元（日本円 約3,901,800円）","17.18万元（日本円 約3,607,800円）","17.18万元（日本円 約3,607,800円）","18.58万元（日本円 約3,901,800円）","18.58万元（日本円 約3,901,800円）","19.28万元（日本円 約4,048,800円）","20.76万元（日本円 約4,359,600円）","21.00万元（日本円 約4,410,000円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"13.06万元（日本円 約2,742,600円）","14.12万元（日本円 約2,965,200円）","13.06万元（日本円 約2,742,600円）","13.06万元（日本円 約2,742,600円）","14.12万元（日本円 約2,965,200円）","14.12万元（日本円 約2,965,200円）","14.65万元（日本円 約3,076,500円）","15.78万元（日本円 約3,313,800円）","15.96万元（日本円 約3,351,600円）"
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-08-15,2025-08-15,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02
基本参数,基本仕様,最大功率(kW),最大出力(kW),118,118,118,118,118,118,118,118,118
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250,250
基本参数,基本仕様,变速箱,トランスミッション,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
