セクション,セクション_ja,項目,項目_ja,2026年モデル 純電 2WD MAX+ 長距離版,2026年モデル 純電 4WD Ultra,2026年モデル 増程式 4WD MAX+,2026年モデル 増程式 4WD Ultra
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),预售,预售,预售,预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,上市时间,発売時期,-,-,-,-
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,180,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),760,705,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),227,340,345,345
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,純電動,純電動,-,-
基本参数,基本仕様,电动机(Ps),モーター（Ps）,309,462,469,469
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4960*1985*1736,4960*1985*1736,4960*1985*1736,4960*1985*1736
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),-,-,0.76,0.76
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費（L/100km）WLTC,-,-,6.1,6.1
基本参数,基本仕様,整车质保,車両保証,-,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),2395,2515,2545,2545
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2835,2940,2920,2920
车身,車体,长度(mm),全長(mm),4960,4960,4960,4960
车身,車体,宽度(mm),全幅(mm),1985,1985,1985,1985
车身,車体,高度(mm),全高(mm),1736,1736,1736,1736
车身,車体,轴距(mm),ホイールベース(mm),2950,2950,2950,2950
车身,車体,前轮距(mm),前トレッド(mm),1708,1708,1708,1708
车身,車体,后轮距(mm),後トレッド(mm),1706,1706,1706,1706
车身,車体,接近角(°),アプローチアングル（°）,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル（°）,21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量（L）,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,-,-,M15T,M15T
发动机,エンジン,排量(mL),排気量(mL),-,-,1496,1496
发动机,エンジン,排量(L),排気量（L）,-,-,1.5,1.5
发动机,エンジン,进气形式,過給形式,-,-,ターボチャージャー,ターボチャージャー
发动机,エンジン,气缸排列形式,シリンダー配列,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),-,-,-,-
发动机,エンジン,配气机构,バルブ機構,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),-,-,152,152
发动机,エンジン,最大功率(kW),最大出力(kW),-,-,112,112
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力（kW）,-,-,110,110
发动机,エンジン,能源类型,エネルギータイプ,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,ファーウェイデジタル,ファーウェイデジタル,ファーウェイデジタル
电动机,モーター,后电动机品牌,後モーターブランド,ファーウェイデジタル,ファーウェイデジタル,ファーウェイデジタル,ファーウェイデジタル
电动机,モーター,前电动机型号,前モーター型式,-,YS210XYA03,YS210XYA51,YS210XYA51
电动机,モーター,后电动机型号,後モーター型式,QT67TZ210D01,TZ180XYD01,TZ180XYC01,TZ180XYC01
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,前交流/非同期 後永久磁石/同期型,前交流/非同期 後永久磁石/同期型,前交流/非同期 後永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),227,340,345,345
电动机,モーター,电动机总马力(Ps),モーター合計馬力（Ps）,309,462,469,469
电动机,モーター,前电动机最大功率(kW),前モーター最大出力（kW）,-,160,165,165
电动机,モーター,后电动机最大功率(kW),後モーター最大出力（kW）,227,180,180,180
电动机,モーター,驱动电机数,駆動モーター数,単モーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,前置＋後置,前置＋後置,前置＋後置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● リン酸鉄リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,180,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),760,705,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量（kWh）,97.64,97.64,37,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,-,-,-,-
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,-,-,-,-
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
