セクション,項目,极狐贝塔S3 2026款 460PLUS,极狐贝塔S3 2026款 560MAX,极狐贝塔S3 2026款 560MAX+,极狐贝塔S3 2026款 535 PLUS换电版,极狐贝塔S3 2026款 535 MAX换电版,极狐贝塔S3 2026款 660ULTRA,极狐贝塔S3 2026款 535 MAX+换电版,极狐贝塔S3 2026款 660ULTRA+
,厂商指导价(元),8.48万 计算器,9.28万 计算器,9.98万 计算器,10.48万 计算器,10.98万 计算器,11.28万 计算器,11.68万 计算器,12.58万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22
基本参数,CLTC纯电续航里程(km),460,560,560,535,535,660,535,660
基本参数,电池快充时间(小时),0.35,0.35,0.35,0.47,0.47,0.35,0.47,0.35
基本参数,电池慢充时间(小时),7.5,10,10,9,9,12,9,12
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),159,159,159,159,159,159,159,159
基本参数,最大扭矩(N·m),250,250,250,250,250,250,250,250
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),216,216,216,216,216,216,216,216
基本参数,长*宽*高(mm),4916*1900*1480,4916*1900*1480,4916*1900*1480,4916*1900*1480,4916*1900*1480,4916*1900*1480,4916*1900*1480,-*-*-
基本参数,官方0-100km/h加速(s),7.2,6.9,6.9,7.6,7.6,7.1,7.6,7.1
基本参数,官方0-50km/h加速(s),3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
基本参数,最高车速(km/h),165,165,165,165,165,165,165,165
基本参数,电能当量燃料消耗量(L/100km),1.25,1.28,1.28,1.39,1.39,1.28,1.39,1.28
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,首任车主质保政策,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),1505,1640,1640,1620,1620,1700,1620,1700
基本参数,最大满载质量(kg),1925,2015,2015,2005,2005,2075,2005,2075
车身,长度(mm),4916,4916,4916,4916,4916,4916,4916,-
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,-
车身,高度(mm),1480,1480,1480,1480,1480,1480,1480,-
车身,轴距(mm),2876,2876,2876,2876,2876,2876,2876,2876
车身,前轮距(mm),1650,1650,1650,1650,1650,1650,1650,-
