セクション,セクション_ja,項目,項目_ja,2025年モデル 後輪駆動 乾崑版,2025年モデル 超長距離走行 乾崑版,2025年モデル 後輪駆動 鯤鵬版,2025年モデル 4WD 乾崑版,2024年モデル 長距離走行 智享版,2024年モデル 長距離走行 超急速充電版,2024年モデル 超長距離走行 智享版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"20.29万元（日本円 約4,260,900円）","24.29万元（日本円 約5,100,900円）","24.19万元（日本円 約5,079,900円）","22.29万元（日本円 約4,680,900円）","19.69万元（日本円 約4,134,900円）","20.29万元（日本円 約4,260,900円）","23.69万元（日本円 約4,974,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"20.29万元（日本円 約4,260,900円）","24.29万元（日本円 約5,100,900円）","24.19万元（日本円 約5,079,900円）","22.29万元（日本円 約4,680,900円）","19.69万元（日本円 約4,134,900円）","20.29万元（日本円 約4,260,900円）","23.69万元（日本円 約4,974,900円）"
基本参数,基本仕様,厂商,メーカー,ラントゥ自動車,ラントゥ自動車,ラントゥ自動車,ラントゥ自動車,ラントゥ自動車,ラントゥ自動車,ラントゥ自動車
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-08-28,2025-08-28,2026-04-15,2025-08-28,2024-10-13,2024-10-13,2024-10-13
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),650,901,650,600,625,650,901
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.54,0.17,0.17,0.43,0.17,0.54
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),230,230,230,405,215,230,230
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),395,395,395,770,420,395,395
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),313,313,313,551,292,313,313
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4810*1900*1636,4810*1900*1636,4810*1900*1636,4810*1900*1636,4725*1900*1636,4725*1900*1636,4725*1900*1636
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.8,6.8,6.8,4.3,6.8,6.8,6.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),204,204,204,204,204,204,204
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.6,1.58,1.6,1.78,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2175,2099,2175,2285,2099,2145,2099
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2550,2474,2550,2660,2474,2520,2474
车身,車体,长度(mm),全長(mm),4810,4810,4810,4810,4725,4725,4725
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1636,1636,1636,1636,1636,1636,1636
车身,車体,轴距(mm),ホイールベース(mm),2925,2925,2925,2925,2900,2900,2900
车身,車体,前轮距(mm),前トレッド(mm),1625,1625,1625,1625,1625,1625,1625
车身,車体,后轮距(mm),後トレッド(mm),1630,1630,1630,1630,1630,1630,1630
车身,車体,最小离地间隙(mm),最低地上高(mm),-,-,-,-,180,180,180
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23,23
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),652-1588,652-1588,652-1588,652-1588,527-1400,527-1400,527-1400
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.26,0.26,0.26,0.26,-,-,-
电动机,モーター,前电动机品牌,前モーター ブランド,-,-,-,Zhixinテクノロジー,-,-,-
电动机,モーター,后电动机品牌,後モーター ブランド,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー
电动机,モーター,前电动机型号,前モーター 型式,-,-,-,YS225XYH02,-,-,-
电动机,モーター,后电动机型号,後モーター 型式,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ220XSP02,TZ225XYH01,TZ225XYH01
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,前誘導/非同期 後永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),230,230,230,405,215,230,230
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),313,313,313,551,292,313,313
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),395,395,395,770,420,395,395
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,175,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,375,-,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),230,230,230,230,215,230,230
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),395,395,395,395,420,395,395
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,フロント＋リア配置,リア配置,リア配置,リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,"● CATL（寧徳時代）
● Sunwoda（欣旺達）",● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),650,901,650,600,625,650,901
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),81,112,81,81,77,79,109
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),13.8,13.6,13.8,15.3,14.2,13.8,13.6
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),440,185,440,440,-,-,-
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応,非対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム(V),800,800,800,800,400,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.54,0.17,0.17,0.43,0.17,0.54
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,3.5,6,6
变速箱,トランスミッション,简称,略称,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● デュアルモーター四輪駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,-,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
