セクション,セクション_ja,項目,項目_ja,2026年モデル 230km 2WD ロングレンジ版,2026年モデル 220km 4WD ロングレンジ版,2026年モデル 220km 4WD パイオニア版,2026年モデル 220km 4WD エクスプローラー＋版,2026年モデル 220km 4WD スターライト版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.88万元（日本円 約2,284,800円）","11.68万元（日本円 約2,452,800円）","12.68万元（日本円 約2,662,800円）","13.28万元（日本円 約2,788,800円）","13.98万元（日本円 約2,935,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),170,165,165,165,165
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),230,220,220,220,220
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),222,312,312,312,312
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),376,526,526,526,526
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5L 112馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),190,313,313,313,313
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4958×1915×1505mm,4958×1915×1505mm,4958×1915×1505mm,4958×1915×1505mm,4958×1915×1505mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.8,5.4,5.4,5.4,5.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.65,0.91,0.91,0.91,0.91
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,3.96,4.18,4.18,4.18,4.18
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低荷電状態燃費(L/100km)CLTC,2.78,2.98,2.98,2.98,2.98
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.36,2.66,2.66,2.66,2.66
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1750,1860,1860,1860,1860
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2155,2265,2265,2265,2265
车身,車体,长度(mm),全長(mm),4958,4958,4958,4958,4958
车身,車体,宽度(mm),全幅(mm),1915,1915,1915,1915,1915
车身,車体,高度(mm),全高(mm),1505,1505,1505,1505,1505
车身,車体,轴距(mm),ホイールベース(mm),2845,2852,2852,2852,2852
车身,車体,前轮距(mm),前トレッド(mm),1630,1630,1630,1630,1630
车身,車体,后轮距(mm),後トレッド(mm),1630,1630,1630,1630,1630
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.3,5.3,5.3,5.3,5.3
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
