セクション,セクション_ja,項目,項目_ja,2026年モデル 鼎世版,2025年モデル 鼎世版,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"130.00万元（日本円 約27,300,000円）","128.00万元（日本円 約26,880,000円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,–
基本参数,基本仕様,厂商,メーカー,ヤンワン,ヤンワン,–
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,–
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,–
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,–
基本参数,基本仕様,上市时间,発売時期,2026-03-05,2025-09-12,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),230,200,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.15,0.23,–
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),8.4,7.5,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-97,30-80,–
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),10-100,15-100,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),880,880,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),1520,1520,–
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,–
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 272馬力,レンジエクステンダー 272馬力,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),1197,1197,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5400×2049×1921,5400×2049×1921,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),3.5,3.5,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.48,1.48,–
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),3639,3595,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),4210,4210,–
车身,車体,长度(mm),全長(mm),5400,5400,–
车身,車体,宽度(mm),全幅(mm),2049,2049,–
