セクション,項目,岚图知音 2025款 后驱乾崑版,岚图知音 2025款 超长续航乾崑版,岚图知音 2025款 后驱鲲鹏版,岚图知音 2025款 四驱乾崑版,岚图知音 2024款 长续航智享版,岚图知音 2024款 长续航超充版,岚图知音 2024款 超长续航智享版
,厂商指导价(元),20.29万 计算器,24.29万 计算器,24.19万 计算器,22.29万 计算器,19.69万 计算器,20.29万 计算器,23.69万 计算器
,经销商报价,20.29万起,24.29万起,24.19万起,22.29万起,19.69万起,20.29万起,23.69万起
基本参数,厂商,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-08-28,2025-08-28,2026-04-15,2025-08-28,2024-10-13,2024-10-13,2024-10-13
基本参数,CLTC纯电续航里程(km),650,901,650,600,625,650,901
基本参数,电池快充时间(小时),0.17,0.54,0.17,0.17,0.43,0.17,0.54
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
基本参数,最大功率(kW),230,230,230,405,215,230,230
基本参数,最大扭矩(N·m),395,395,395,770,420,395,395
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),313,313,313,551,292,313,313
基本参数,长*宽*高(mm),4810*1900*1636,4810*1900*1636,4810*1900*1636,4810*1900*1636,4725*1900*1636,4725*1900*1636,4725*1900*1636
基本参数,官方0-100km/h加速(s),6.8,6.8,6.8,4.3,6.8,6.8,6.8
基本参数,最高车速(km/h),204,204,204,204,204,204,204
基本参数,电能当量燃料消耗量(L/100km),1.6,1.58,1.6,1.78,-,-,-
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2175,2099,2175,2285,2099,2145,2099
基本参数,最大满载质量(kg),2550,2474,2550,2660,2474,2520,2474
车身,长度(mm),4810,4810,4810,4810,4725,4725,4725
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1636,1636,1636,1636,1636,1636,1636
车身,轴距(mm),2925,2925,2925,2925,2900,2900,2900
车身,前轮距(mm),1625,1625,1625,1625,1625,1625,1625
车身,后轮距(mm),1630,1630,1630,1630,1630,1630,1630
车身,最小离地间隙(mm),-,-,-,-,180,180,180
车身,接近角(°),18,18,18,18,19,19,19
车身,离去角(°),23,23,23,23,23,23,23
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),652-1588,652-1588,652-1588,652-1588,527-1400,527-1400,527-1400
车身,风阻系数(Cd),0.26,0.26,0.26,0.26,-,-,-
电动机,前电动机品牌,-,-,-,智新科技,-,-,-
