セクション,項目,银河V900 2026款 1180四驱Air版,银河V900 2026款 1180四驱Pro版,银河V900 2026款 1220四驱Max版,银河V900 2026款 金晖典藏版
,厂商指导价(元),29.98万 计算器,30.98万 计算器,32.98万 计算器,36.98万 计算器
,经销商报价,25.98万起,26.98万起,28.98万起,32.98万起
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,增程式,增程式,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-03-03,2026-01-20,2026-01-20,2026-01-20
基本参数,WLTC纯电续航里程(km),172,172,202,202
基本参数,CLTC纯电续航里程(km),220,220,260,260
基本参数,电池快充时间(小时),0.4,0.4,0.3,0.3
基本参数,电池慢充时间(小时),6.3,6.3,7.3,7.3
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,最大功率(kW),340,340,340,340
基本参数,最大扭矩(N·m),523,523,523,523
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,增程器 163马力,增程器 163马力,增程器 163马力,增程器 163马力
基本参数,电动机(Ps),462,462,462,462
基本参数,长*宽*高(mm),5399*1998*1940,5399*1998*1940,5399*1998*1920,5399*1998*1920
基本参数,官方0-100km/h加速(s),6.5,6.5,6.5,6.5
基本参数,最高车速(km/h),190,190,190,190
基本参数,WLTC综合油耗(L/100km),0.93,0.93,0.78,0.78
基本参数,最低荷电状态油耗(L/100km)WLTC,7,7,7.1,7.1
基本参数,最低荷电状态油耗(L/100km)CLTC,5.9,5.9,6,6
基本参数,油电综合燃料消耗量(L/100km),3.64,3.64,3.6,3.6
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2890,2890,2970,2970
基本参数,最大满载质量(kg),3445,3445,3525,3525
车身,长度(mm),5399,5399,5399,5399
车身,宽度(mm),1998,1998,1998,1998
车身,高度(mm),1940,1940,1920,1920
车身,轴距(mm),3200,3200,3200,3200
车身,前轮距(mm),1747,1747,1747,1747
车身,后轮距(mm),1742,1742,1742,1742
车身,接近角(°),14,14,14,14
车身,离去角(°),16,16,17,17
车身,车身结构,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,"● 7
○ 6
○ 8 (10000元)","● 7
○ 6
○ 8"
车身,油箱容积(L),60,60,60,60
车身,后备厢容积(L),1022,1022,1022,1022
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ
发动机,排量(mL),1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),163,163,163,163
发动机,最大功率(kW),120,120,120,120
发动机,最大功率转速(rpm),5000,5000,5000,5000
发动机,最大扭矩(N·m),255,255,255,255
发动机,最大扭矩转速(rpm),2500-3500,2500-3500,2500-3500,2500-3500
发动机,最大净功率(kW),115,115,115,115
发动机,能源类型,增程式,增程式,增程式,增程式
发动机,燃油标号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,前电动机型号,YS180XS001,YS180XS001,YS180XS001,YS180XS001
电动机,后电动机型号,TZ220XYA01,TZ220XYA01,TZ220XYA01,TZ220XYA01
电动机,电机类型,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),340,340,340,340
电动机,电动机总马力(Ps),462,462,462,462
电动机,电动机总扭矩(N·m),523,523,523,523
电动机,前电动机最大功率(kW),90,90,90,90
电动机,前电动机最大扭矩(N·m),150,150,150,150
电动机,后电动机最大功率(kW),250,250,250,250
电动机,后电动机最大扭矩(N·m),373,373,373,373
电动机,系统综合功率(kW),340,340,340,340
电动机,系统综合马力(Ps),462,462,462,462
电动机,系统综合扭矩(N·m),523,523,523,523
电动机,驱动电机数,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),172,172,202,202
电池/充电,CLTC纯电续航里程(km),220,220,260,260
电池/充电,WLTC综合续航(km),952,952,982,982
电池/充电,CLTC综合续航(km),1180,1180,1220,1220
电池/充电,电池能量(kWh),43.3,43.3,50,50
电池/充电,百公里耗电量(kWh/100km),23.3,23.3,24.3,24.3
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.4,0.4,0.3,0.3
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),6.3,6.3,7.3,7.3
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6.6,6.6,6.6,6.6
电池/充电,对外直流放电功率(kW),6.6,6.6,6.6,6.6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,"● 235/60 R18
○ 235/50 R20",● 235/50 R20
车轮制动,后轮胎规格,● 255/60 R18,● 255/60 R18,"● 255/60 R18
○ 255/50 R20",● 255/50 R20
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,-,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●
主动安全,疲劳驾驶提示,-,●,●,●
主动安全,DOW开门预警,-,●,●,●
主动安全,前方碰撞预警,-,●,●,●
主动安全,后方碰撞预警,-,●,●,●
主动安全,哨兵模式/千里眼,-,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●
驾驶操控,可变悬架功能,-,-,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,-,-,●,●
驾驶操控,空气悬挂类型,-,-,● 单腔,● 单腔
驾驶操控,魔毯智能悬架,-,-,-,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,● 英伟达 Drive Orin,● 英伟达 Drive Orin,● 英伟达 Drive Orin
驾驶硬件,前方感知摄像头,-,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,-,● 11个,● 11个,● 12个
驾驶硬件,车内摄像头数量,-,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 3个,● 3个,● 3个
驾驶硬件,激光雷达数量,-,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● 千里浩瀚H5,● 千里浩瀚H5,● 千里浩瀚H5
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,●,●,●
驾驶功能,车道保持辅助系统,-,●,●,●
驾驶功能,车道居中保持,-,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●
驾驶功能,遥控泊车,-,●,●,●
驾驶功能,记忆泊车,-,●,●,●
驾驶功能,循迹倒车,-,●,●,●
驾驶功能,辅助变道,-,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●
驾驶功能,信号灯识别,-,●,●,●
驾驶功能,方向盘离手检测,-,●,●,●
驾驶功能,起步提醒,-,●,●,●
驾驶功能,辅助驾驶路段,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,车侧脚踏板,-,○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元)
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,辅助驾驶灯,-,●,●,●
天窗/玻璃,天窗类型,-,-,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧隐私玻璃,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河
互联/智能化,语音免唤醒词,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 六区域,● 六区域,● 六区域,● 六区域
互联/智能化,语音连续识别,●,●,●,●
互联/智能化,可见即可说,●,●,●,●
互联/智能化,面部识别,●,●,●,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
互联/智能化,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
互联/智能化,后排液晶屏幕,-,-,●,●
互联/智能化,后排液晶屏幕尺寸,-,-,● 17.3英寸,● 17.3英寸
互联/智能化,后排多媒体屏幕数量,-,-,● 3个,● 3个
互联/智能化,后排控制多媒体,-,-,●,●
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●
