セクション,項目,长安启源Q05 2026款 405Air,长安启源Q05 2026款 405Max,长安启源Q05 2026款 506Pro,长安启源Q05 2026款 506Max,长安启源Q05 2026款 405激光Ultra,长安启源Q05 2026款 506激光Ultra+
,厂商指导价(元),7.99万 计算器,8.99万 计算器,9.59万 计算器,9.99万 计算器,9.99万 计算器,10.99万 计算器
,经销商报价,7.49万起,8.49万起,9.09万起,9.49万起,9.49万起,10.49万起
基本参数,厂商,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-11-21,2025-11-21,2025-11-21,2025-11-21,2025-11-21,2025-11-21
基本参数,CLTC纯电续航里程(km),405,405,506,506,405,506
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),120,120,120,120,120,120
基本参数,最大扭矩(N·m),190,190,190,190,190,190
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),163,163,163,163,163,163
基本参数,长*宽*高(mm),4435*1855*1600,4435*1855*1600,4435*1855*1600,4435*1855*1600,4435*1855*1595,4435*1855*1595
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-
基本参数,最高车速(km/h),160,160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.31,1.31,1.36,1.36,1.31,1.36
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1435,1470,1550,1550,1470,1550
基本参数,最大满载质量(kg),1870,1870,1950,1950,1870,1950
车身,长度(mm),4435,4435,4435,4435,4435,4435
车身,宽度(mm),1855,1855,1855,1855,1855,1855
车身,高度(mm),1600,1600,1600,1600,1595,1595
车身,轴距(mm),2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1580,1580,1580,1580,1580,1580
车身,后轮距(mm),1590,1590,1590,1590,1590,1590
车身,接近角(°),18,18,18,18,18,18
车身,离去角(°),25,25,25,25,25,25
车身,最小转弯半径(m),5.3,5.3,5.3,5.3,5.3,5.3
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),540-1380,540-1380,540-1380,540-1380,540-1380,540-1380
车身,风阻系数(Cd),0.265,0.265,0.265,0.265,0.265,0.265
电动机,前电动机品牌,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山
电动机,前电动机型号,TZ180XS002,TZ180XS002,TZ180XS002,TZ180XS002,TZ180XS002,TZ180XS002
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,120,120,120,120
电动机,电动机总马力(Ps),163,163,163,163,163,163
电动机,电动机总扭矩(N·m),190,190,190,190,190,190
电动机,前电动机最大功率(kW),120,120,120,120,120,120
电动机,前电动机最大扭矩(N·m),190,190,190,190,190,190
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池/充电,电池冷却方式,直冷,直冷,液冷,液冷,直冷,液冷
电池/充电,CLTC纯电续航里程(km),405,405,506,506,405,506
电池/充电,电池能量(kWh),40.3,40.3,51.9,51.9,40.3,51.9
电池/充电,百公里耗电量(kWh/100km),11.3,11.3,11.7,11.7,11.3,11.7
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,对外交流放电功率(kW),-,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/60 R17,● 225/60 R17,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,后轮胎规格,● 225/60 R17,● 225/60 R17,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 前排,● 主驾驶位,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,●,●
主动安全,DOW开门预警,-,-,-,-,●,●
主动安全,前方碰撞预警,-,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,-,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,○ 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,-,● 地平线J6M,● 地平线J6M
驾驶硬件,芯片总算力,-,-,-,-,● 128 TOPS,● 128 TOPS
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,● 双目,● 双目
驾驶硬件,摄像头数量,● 4个,● 5个,● 5个,● 5个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,-,-,-,-,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,-,-,-,-,● 300万,● 300万
驾驶硬件,环视摄像头像素,-,-,-,-,● 300万,● 300万
驾驶硬件,车内摄像头数量,-,-,-,-,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 1个,● 1个,● 1个,● 3个,● 3个
驾驶硬件,激光雷达品牌,-,-,-,-,● HESAI禾赛科技,● HESAI禾赛科技
驾驶硬件,激光雷达数量,-,-,-,-,● 1个,● 1个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,○ 天枢智能驾驶辅助激光版,● 天枢智能驾驶辅助激光版,● 天枢智能驾驶辅助激光版
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精地图,-,-,-,-,●,●
驾驶功能,并线辅助,-,-,-,-,●,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,●,●
驾驶功能,循迹倒车,-,-,-,-,●,●
驾驶功能,辅助变道,-,-,-,-,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,●,●
驾驶功能,信号灯识别,-,-,-,-,●,●
驾驶功能,方向盘离手检测,-,-,-,-,●,●
驾驶功能,起步提醒,-,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,-,-,● 高速路段,● 高速路段
外观/防盗,轮圈材质,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,-,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
