セクション,項目,AION i60 2026款 210 马到成功版,AION i60 2026款 210 标准版,AION i60 2026款 210 进阶版,AION i60 2026款 530 标准版,AION i60 2026款 530 宁德标准版,AION i60 2026款 530 进阶版,AION i60 2026款 530 宁德进阶版,AION i60 2026款 650 标准版,AION i60 2026款 650 进阶版
,厂商指导价(元),10.28万 计算器,10.98万 计算器,11.58万 计算器,10.98万 计算器,11.16万 计算器,11.98万 计算器,12.16万 计算器,12.58万 计算器,13.58万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-,-,-,-
基本参数,上市时间,2026-03-02,2025-11-16,2025-11-16,2025-11-16,2026-06-10,2025-11-16,2026-06-10,2025-11-16,2025-11-16
基本参数,WLTC纯电续航里程(km),160,160,160,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),210,210,210,530,530,530,530,650,650
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.37,0.37,0.37,0.37,0.37,0.37
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),180,180,180,150,150,150,150,165,165
基本参数,最大扭矩(N·m),280,280,280,205,205,205,205,240,240
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 101马力,增程器 101马力,增程器 101马力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),245,245,245,204,204,204,204,224,224
基本参数,长*宽*高(mm),4685*1854*1660,4685*1854*1660,4685*1854*1660,4685*1854*1660,4685*1854*1660,4685*1854*1660,4685*1854*1660,4685*1854*1660,4685*1854*1660
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,160,160,160,160,160,160
基本参数,WLTC综合油耗(L/100km),0.61,0.61,0.61,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.5,5.5,5.5,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,1.47,1.47,1.47,1.47,1.49,1.49
基本参数,油电综合燃料消耗量(L/100km),2.55,2.55,2.55,-,-,-,-,-,-
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1860,1860,1860,1800,1745,1840,1745,1910,1910
基本参数,最大满载质量(kg),2325,2325,2325,2280,2280,2280,2280,2350,2350
车身,长度(mm),4685,4685,4685,4685,4685,4685,4685,4685,4685
车身,宽度(mm),1854,1854,1854,1854,1854,1854,1854,1854,1854
车身,高度(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660
车身,轴距(mm),2775,2775,2775,2775,2775,2775,2775,2775,2775
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600
