セクション,項目,荣威i6 2026款 1.5L 长久版,荣威i6 2026款 1.5L 豪久版,荣威i6 2026款 1.5L 臻久版,
,厂商指导价(元),7.49万 计算器,7.99万 计算器,8.49万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,上汽集团,上汽集团,上汽集团,–
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,–
基本参数,能源类型,汽油,汽油,汽油,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2026-04-28,2026-04-28,2026-04-28,–
基本参数,最大功率(kW),95,95,95,–
基本参数,最大扭矩(N·m),158,158,158,–
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速,–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,–
基本参数,发动机,1.5L 129马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,–
基本参数,长*宽*高(mm),4767*1828*1498,4767*1828*1498,4767*1828*1498,–
基本参数,官方0-100km/h加速(s),-,-,-,–
基本参数,最高车速(km/h),180,180,180,–
基本参数,WLTC综合油耗(L/100km),5.96,6.15,6.15,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,–
基本参数,首任车主质保政策,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）,–
基本参数,整备质量(kg),1230,1250,1250,–
基本参数,最大满载质量(kg),1680,1700,1700,–
车身,长度(mm),4767,4767,4767,–
车身,宽度(mm),1828,1828,1828,–
车身,高度(mm),1498,1498,1498,–
车身,轴距(mm),2755,2755,2755,–
车身,前轮距(mm),1558,1558,1558,–
车身,后轮距(mm),1560,1560,1560,–
车身,接近角(°),15,15,15,–
车身,离去角(°),19,19,19,–
车身,车身结构,三厢车,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 4,● 4,● 4,–
车身,座位数(个),● 5,● 5,● 5,–
车身,油箱容积(L),50,50,50,–
车身,后备厢容积(L),545-1253,545-1253,545-1253,–
车身,风阻系数(Cd),0.32,0.32,0.32,–
发动机,发动机型号,15FCD,15FCD,15FCD,–
发动机,排量(mL),1495,1495,1495,–
发动机,排量(L),1.5,1.5,1.5,–
发动机,进气形式,自然吸气,自然吸气,自然吸气,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,压缩比,12.2,12.2,12.2,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),129,129,129,–
发动机,最大功率(kW),95,95,95,–
发动机,最大功率转速(rpm),6000,6000,6000,–
发动机,最大扭矩(N·m),158,158,158,–
发动机,最大扭矩转速(rpm),-,-,-,–
发动机,最大净功率(kW),90,90,90,–
发动机,能源类型,汽油,汽油,汽油,–
发动机,燃油标号,92号,92号,92号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速,–
变速箱,挡位个数,无级变速,无级变速,无级变速,–
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 纵臂扭转梁式非独立悬架,● 纵臂扭转梁式非独立悬架,● 纵臂扭转梁式非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 195/60 R16,● 205/50 R17,● 205/50 R17,–
车轮制动,后轮胎规格,● 195/60 R16,● 205/50 R17,● 205/50 R17,–
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,–
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,-,-,-,–
主动安全,主动刹车/主动安全系统,-,-,-,–
主动安全,疲劳驾驶提示,-,-,-,–
主动安全,内置行车记录仪,-,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,–
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,-,●,●,–
驾驶硬件,摄像头数量,● 1个,● 4个,● 4个,–
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,–
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,–
驾驶功能,卫星导航系统,-,●,●,–
驾驶功能,导航路况信息显示,-,●,●,–
驾驶功能,地图品牌,-,● 百度,● 百度,–
驾驶功能,并线辅助,-,-,-,–
驾驶功能,车道保持辅助系统,-,-,-,–
驾驶功能,辅助泊车入位,-,-,-,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,发动机电子防盗,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,–
外观/防盗,远程启动功能,-,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,-,-,-,–
