セクション,セクション_ja,項目,項目_ja,2026年モデル 103度後輪駆動 Max版,2026年モデル 95度4WD Max版,2026年モデル 103度4WD Ultra版,2026年モデル 103度4WD Ultra+版,2026年モデル 103度4WD 5周年記念版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"26.98万元（日本円 約5,665,800円）","26.98万元（日本円 約5,665,800円）","29.98万元（日本円 約6,295,800円）","32.98万元（日本円 約6,925,800円）","36.50万元（日本円 約7,665,000円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"26.98万元（日本円 約5,665,800円）","26.98万元（日本円 約5,665,800円）","29.98万元（日本円 約6,295,800円）","32.98万元（日本円 約6,925,800円）","36.50万元（日本円 約7,665,000円）"
基本参数,基本仕様,厂商,メーカー,ジークリ,ジークリ,ジークリ,ジークリ,ジークリ
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2026-04-10
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),810,710,762,730,680
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.12,0.17,0.17,0.17
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),370,680,680,680,680
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),535,913,913,913,913
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),503,925,925,925,925
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4977×1999×1545,4977×1999×1545,4977×1999×1533,4977×1999×1533,4977×1999×1545
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.98,3.08,2.83,2.91,2.91
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),280,280,280,280,280
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.61,1.78,1.76,1.76,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2235,2470,2350,2440,-
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2695,2930,2810,2900,-
基本参数,基本仕様,准拖挂车总质量(kg),準けん引車総重量(kg),2000,2000,2000,2000,2000
车身,車体,长度(mm),全長(mm),4977,4977,4977,4977,4977
车身,車体,宽度(mm),全幅(mm),1999,1999,1999,1999,1999
车身,車体,高度(mm),全高(mm),1545,1545,1533,1533,1545
车身,車体,轴距(mm),ホイールベース(mm),3005,3005,3005,3005,3005
车身,車体,前轮距(mm),前トレッド(mm),1703,1703,1703,1713,1703
车身,車体,后轮距(mm),後トレッド(mm),1716,1716,1716,1726,1716
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),20,20,18,18,20
车身,車体,车身结构,ボディ構造,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,前备厢容积(L),フロントトランク容量(L),31,31,31,31,31
车身,車体,后备厢容积(L),リアトランク容量(L),740-2144,740-2144,740-2144,740-2144,740-2144
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.23,0.23,0.23,0.23,0.23
电动机,モーター,前电动机品牌,前モーターブランド,-,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）
电动机,モーター,后电动机品牌,後モーターブランド,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）,衢州ジーディエン（メーカー名）
电动机,モーター,前电动机型号,前モーター型式,-,YS220XYG01（型式）,YS220XYG01（型式）,YS220XYG01（型式）,YS220XYG01（型式）
电动机,モーター,后电动机型号,後モーター型式,TZ230XYC04（型式）,TZ230XYC04（型式）,TZ230XYC04（型式）,TZ230XYC04（型式）,TZ230XYC04（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,前：誘導/非同期モーター 後：永久磁石同期モーター,前：誘導/非同期モーター 後：永久磁石同期モーター,前：誘導/非同期モーター 後：永久磁石同期モーター,前：誘導/非同期モーター 後：永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),370,680,680,680,680
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),503,925,925,925,925
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),535,913,913,913,913
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,310,310,310,310
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,378,378,378,378
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),370,370,370,370,370
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),535,535,535,535,535
电动机,モーター,驱动电机数,駆動モーター数,単モーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,前後置,前後置,前後置,前後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または20万km,● 8年または20万km,● 8年または20万km,● 8年または20万km,● 8年または20万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● タイムジーリー（ブランド名）,● ジーヤオ通行（ブランド名）,● タイムジーリー（ブランド名）,● タイムジーリー（ブランド名）,● タイムジーリー（ブランド名）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,キリン電池,シェンドゥン金レンガ電池,キリン電池,キリン電池,キリン電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),810,710,762,730,680
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),103,95,103,103,103
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),13.9,15.3,15.2,15.2,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,900,900,900,900,900
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.12,0.17,0.17,0.17
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,充电桩价格（元）,充電スタンド価格（元）,5199,5199,5199,5199,5199
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),60,60,60,60,60
变速箱,トランスミッション,简称,略称,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/55 R19
○ 255/45 R21（11,000元）","● 255/55 R19
○ 255/45 R21（11,000元）
○ 265/40 R22（20,000元）","● 255/55 R19
○ 255/45 R21（11,000元）
○ 265/40 R22（20,000元）","● 255/45 R21
○ 265/40 R22（20,000元）",● 265/40 R22
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 255/55 R19
○ 255/45 R21","● 255/55 R19
○ 255/45 R21
○ 265/40 R22","● 255/55 R19
○ 255/45 R21
○ 265/40 R22","● 255/45 R21
○ 265/40 R22",● 265/40 R22
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主●／副●,主●／副●,主●／副●,主●／副●,主●／副●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前●／後,前●／後,前●／後,前●／後,前●／後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●
