セクション,項目,威兰达 2026款 2.0L 智能电混双擎 AIR,威兰达 2026款 2.0L 智能电混双擎 PRO,威兰达 2026款 2.0L 智能电混双擎 PRO+,威兰达 2026款 2.0L AIR,威兰达 2026款 2.0L PRO,威兰达 2026款 2.0L PRO+,威兰达 2026款 2.0L 四驱PRO+,威兰达 2026款 2.5L 智能电混双擎 四驱PRO,威兰达 2026款 2.5L 智能电混双擎 四驱MAX
,厂商指导价(元),17.98万 计算器,18.98万 计算器,19.98万 计算器,16.98万 计算器,18.18万 计算器,19.18万 计算器,20.18万 计算器,21.28万 计算器,23.08万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20
基本参数,最大功率(kW),144,144,144,126,126,126,126,174,174
基本参数,最大扭矩(N·m),-,-,-,206,206,206,206,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.5L 185马力 L4,2.5L 185马力 L4
基本参数,电动机(Ps),113,113,113,-,-,-,-,189,189
基本参数,长*宽*高(mm),4600*1855*1680,4600*1855*1680,4600*1855*1680,4600*1855*1680,4600*1855*1680,4600*1855*1680,4600*1855*1680,4600*1855*1680,4600*1855*1680
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),4.59,4.59,4.74,6.29,6.29,6.49,6.89,4.91,5.23
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1635,1655,1655,1595,1615,1615,1680,1735,1760
基本参数,最大满载质量(kg),2165,2165,2165,2115,2115,2115,2150,2230,2230
车身,长度(mm),4600,4600,4600,4600,4600,4600,4600,4600,4600
车身,宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855
车身,高度(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680
车身,轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,接近角(°),17,17,17,17,17,17,17,17,17
车身,离去角(°),22,22,22,21,21,21,21,21,21
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,55,55,55,55,55,55,55
车身,后备厢容积(L),-,-,-,-,-,-,-,-,749
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,M20F,M20F,M20F,M20C,M20C,M20C,M20C,A25D,A25D
发动机,排量(mL),1987,1987,1987,1987,1987,1987,1987,2487,2487
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,压缩比,14,14,14,13,13,13,13,14,14
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),-,-,-,80.5,80.5,80.5,80.5,-,-
发动机,行程(mm),-,-,-,97.6,97.6,97.6,97.6,-,-
发动机,最大马力(Ps),152,152,152,171,171,171,171,185,185
发动机,最大功率(kW),112,112,112,126,126,126,126,136,136
发动机,最大功率转速(rpm),6000,6000,6000,6600,6600,6600,6600,6000,6000
发动机,最大扭矩(N·m),188,188,188,206,206,206,206,221,221
发动机,最大扭矩转速(rpm),4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,3400-5200,3400-5200
发动机,最大净功率(kW),112,112,112,126,126,126,126,136,136
发动机,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,永磁/同步,永磁/同步
电动机,电动机总功率(kW),83,83,83,-,-,-,-,138.7,138.7
电动机,电动机总马力(Ps),113,113,113,-,-,-,-,189,189
电动机,电动机总扭矩(N·m),206,206,206,-,-,-,-,327.8,327.8
电动机,前电动机最大功率(kW),83,83,83,-,-,-,-,99.4,99.4
电动机,前电动机最大扭矩(N·m),206,206,206,-,-,-,-,208,208
电动机,后电动机最大功率(kW),-,-,-,-,-,-,-,39.3,39.3
电动机,后电动机最大扭矩(N·m),-,-,-,-,-,-,-,119.8,119.8
电动机,系统综合功率(kW),144,144,144,-,-,-,-,174,174
电动机,系统综合马力(Ps),196,196,196,-,-,-,-,237,237
电动机,驱动电机数,单电机,单电机,单电机,-,-,-,-,双电机,双电机
电动机,电机布局,前置,前置,前置,-,-,-,-,前置+后置,前置+后置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 大连泰星,● 大连泰星,● 大连泰星,-,-,-,-,● 大连泰星,● 大连泰星
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,10,10,10,10,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,-,-,● 适时四驱,● 电动四驱,● 电动四驱
底盘转向,中央差速器结构,-,-,-,-,-,-,● 多片离合器,-,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/50 R20,● 235/60 R18,● 235/60 R18,● 235/50 R20,● 235/50 R20,● 235/60 R18,● 235/50 R20
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/50 R20,● 235/60 R18,● 235/60 R18,● 235/50 R20,● 235/50 R20,● 235/60 R18,● 235/50 R20
