セクション,項目,深蓝G318 2026款 无忧穿越版 四驱旷野版,深蓝G318 2025款 无忧穿越版 四驱远山版,深蓝G318 2025款 无忧穿越版 四驱秘境版,
,厂商指导价(元),18.59万 计算器,19.99万 计算器,22.99万 计算器,–
,经销商报价,17.99万起,19.49万起,22.49万起,–
基本参数,厂商,深蓝汽车,深蓝汽车,深蓝汽车,–
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,–
基本参数,能源类型,增程式,增程式,增程式,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2026-03-25,2025-04-18,2025-04-18,–
基本参数,WLTC纯电续航里程(km),138,138,138,–
基本参数,CLTC纯电续航里程(km),186,174,174,–
基本参数,电池快充时间(小时),0.25,0.25,0.25,–
基本参数,电池慢充时间(小时),5,5,5,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,–
基本参数,最大功率(kW),316,316,316,–
基本参数,最大扭矩(N·m),572,572,572,–
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,–
基本参数,发动机,增程器 150马力,增程器 150马力,增程器 150马力,–
基本参数,电动机(Ps),430,430,430,–
基本参数,长*宽*高(mm),5125*2025*1895,5125*2025*1950,5125*2025*1950,–
基本参数,官方0-100km/h加速(s),5.9,5.9,5.9,–
基本参数,最高车速(km/h),185,185,185,–
基本参数,WLTC综合油耗(L/100km),1.69,1.69,1.69,–
基本参数,最低荷电状态油耗(L/100km)WLTC,7.70,7.70,7.70,–
基本参数,电能当量燃料消耗量(L/100km),2.65,2.65,2.65,–
基本参数,油电综合燃料消耗量(L/100km),4.34,4.34,4.34,–
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,–
基本参数,整备质量(kg),2452,2452,2452,–
基本参数,最大满载质量(kg),2892,2892,2892,–
基本参数,准拖挂车总质量(kg),-,1600,1600,–
车身,长度(mm),5125,5125,5125,–
车身,宽度(mm),2025,2025,2025,–
车身,高度(mm),1895,1950,1950,–
车身,轴距(mm),2880,2880,2880,–
车身,前轮距(mm),1730,1730,1730,–
车身,后轮距(mm),1727,1727,1727,–
车身,最小离地间隙(mm),210,210,240,–
车身,接近角(°),27,27,27,–
车身,离去角(°),31,31,31,–
车身,纵向通过角(°),23,23,23,–
车身,最大爬坡度(%),63,63,63,–
车身,最大涉水深度(mm),600,600,620,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,油箱容积(L),60,60,60,–
车身,后备厢容积(L),818-1747,818-1747,818-1747,–
车身,风阻系数(Cd),0.35,0.40,0.40,–
发动机,发动机型号,JL469ZQ1,JL469ZQ1,JL469ZQ1,–
发动机,排量(mL),1497,1497,1497,–
发动机,排量(L),1.5,1.5,1.5,–
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),150,150,150,–
发动机,最大功率(kW),110,110,110,–
发动机,最大功率转速(rpm),5000,5000,5000,–
发动机,最大扭矩(N·m),220,220,220,–
发动机,最大扭矩转速(rpm),3200-4200,3200-4200,3200-4200,–
发动机,最大净功率(kW),105,105,105,–
发动机,能源类型,增程式,增程式,增程式,–
发动机,燃油标号,92号,92号,92号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
电动机,前电动机型号,AYDM01,AYDM01,AYDM01,–
电动机,后电动机型号,XTDM33,XTDM33,XTDM33,–
电动机,电机类型,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,–
电动机,电动机总功率(kW),316,316,316,–
电动机,电动机总马力(Ps),430,430,430,–
电动机,电动机总扭矩(N·m),572,572,572,–
电动机,前电动机最大功率(kW),131,131,131,–
电动机,前电动机最大扭矩(N·m),262,262,262,–
电动机,后电动机最大功率(kW),185,185,185,–
电动机,后电动机最大扭矩(N·m),310,310,310,–
电动机,系统综合功率(kW),316,316,316,–
电动机,系统综合功率(Ps),430,430,430,–
电动机,系统综合扭矩(N·m),572,572,572,–
电动机,驱动电机数,双电机,双电机,双电机,–
电动机,电机布局,前置+后置,前置+后置,前置+后置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 中创新航,–
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),138,138,138,–
电池/充电,CLTC纯电续航里程(km),186,174,174,–
电池/充电,电池能量(kWh),35.07,35.07,35.07,–
电池/充电,电池能量密度(Wh/kg),120,120,120,–
电池/充电,百公里耗电量(kWh/100km),22.8,22.8,22.8,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,电池快充时间(小时),0.25,0.25,0.25,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,电池慢充时间(小时),5,5,5,–
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,–
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,–
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 255/65 R18,"● 255/65 R18
○ 255/55 R20
○ 265/60 R18","● 255/55 R20
○ 265/60 R18",–
车轮制动,后轮胎规格,● 255/65 R18,"● 255/65 R18
○ 255/55 R20
○ 265/60 R18","● 255/55 R20
○ 265/60 R18",–
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,–
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
主动安全,疲劳驾驶提示,-,-,-,–
主动安全,DOW开门预警,●,●,●,–
主动安全,前方碰撞预警,●,●,●,–
主动安全,后方碰撞预警,●,●,●,–
主动安全,哨兵模式/千里眼,●,●,●,–
主动安全,低速行车警告,●,●,●,–
主动安全,内置行车记录仪,●,●,●,–
主动安全,道路救援呼叫,●,●,●,–
主动安全,防侧翻系统,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化",–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,陡坡缓降,●,●,●,–
驾驶操控,可变悬架功能,-,-,"● 悬架软硬调节
● 悬架高低调节",–
驾驶操控,空气悬架,-,-,●,–
驾驶操控,魔毯智能悬架,-,-,●,–
驾驶操控,拖挂模式,-,○,●,–
四驱/越野,中央差速器锁止功能,●,●,●,–
四驱/越野,限滑差速器/差速锁,-,● 后桥差速锁,● 后桥差速锁,–
四驱/越野,涉水感应系统,●,●,●,–
四驱/越野,蠕行模式,●,●,●,–
四驱/越野,坦克转弯,●,●,●,–
四驱/越野,拖挂钩,-,○ 手动,● 手动,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,●,–
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,–
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,–
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● Deepal AD PRO 深蓝驾驶辅助,● Deepal AD PRO 深蓝驾驶辅助,● Deepal AD PRO 深蓝驾驶辅助,–
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,● 高德,–
驾驶功能,并线辅助,●,●,●,–
驾驶功能,车道保持辅助系统,●,●,●,–
驾驶功能,车道居中保持,●,●,●,–
驾驶功能,道路交通标识识别,●,●,●,–
驾驶功能,辅助泊车入位,●,●,●,–
驾驶功能,遥控泊车,●,●,●,–
驾驶功能,循迹倒车,●,●,●,–
驾驶功能,辅助变道,●,●,●,–
驾驶功能,信号灯识别,●,●,●,–
驾驶功能,方向盘离手检测,●,●,●,–
驾驶功能,起步提醒,●,●,●,–
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动吸合车门,-,-,● 尾门,–
外观/防盗,车顶行李架,●,●,●,–
外观/防盗,发动机电子防盗,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,"○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙",–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,–
外观/防盗,隐藏电动门把手,●,●,●,–
外观/防盗,远程启动功能,●,●,●,–
外观/防盗,车侧脚踏板,● 固定,● 固定,● 固定,–
外观/防盗,电池预加热,●,●,●,–
外观/防盗,对外放电,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,LED日间行车灯,-,-,-,–
车外灯光,自适应远近光,●,●,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,● 前排,"● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,后排侧隐私玻璃,-,-,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,–
互联/智能化,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,–
互联/智能化,蓝牙/车载电话,●,●,●,–
