セクション,セクション_ja,項目,項目_ja,2026年モデル Relive 1.5T Max,2026年モデル Relive 1.5T Ultra,2025年モデル Renew 1.5T Plus,2025年モデル Renew 1.5T Pro,2025年モデル Renew 1.5T Halo,2025年モデル Shero 1.5T 紫特別仕様
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.76万元（日本円 約2,469,600円）","12.96万元（日本円 約2,721,600円）","10.86万元（日本円 約2,280,600円）","11.86万元（日本円 約2,490,600円）","12.86万元（日本円 約2,700,600円）","12.98万元（日本円 約2,725,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,リンク,リンク,リンク,リンク,リンク,リンク
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-08-05,2025-08-05,2024-09-26,2024-09-26,2024-09-26,2025-04-08
基本参数,基本仕様,最大功率(kW),最大出力(kW),133,133,133,133,133,133
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,290,290
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4350×1820×1625mm,4350×1820×1625mm,4350×1820×1625mm,4350×1820×1625mm,4350×1820×1625mm,4350×1820×1625mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),195,195,195,195,195,195
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.55,6.55,6.55,6.55,6.55,6.55
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1420,1420,1420,1420,1420,1420
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1880,1880,1880,1880,1880,1880
车身,車体,长度(mm),全長(mm),4350,4350,4350,4350,4350,4350
车身,車体,宽度(mm),全幅(mm),1820,1820,1820,1820,1820,1820
车身,車体,高度(mm),全高(mm),1625,1625,1625,1625,1625,1625
车身,車体,轴距(mm),ホイールベース(mm),2640,2640,2640,2640,2640,2640
车身,車体,前轮距(mm),前トレッド(mm),1553,1553,1553,1553,1553,1553
车身,車体,后轮距(mm),後トレッド(mm),1568,1568,1568,1568,1568,1568
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),151,151,151,151,151,151
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),172,172,172,172,172,172
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.5,5.5
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),353-1126,353-1126,284-1029,284-1029,284-1029,284-1029
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),181,181,181,181,181,181
发动机,エンジン,最大功率(kW),最大出力(kW),133,133,133,133,133,133
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,290,290
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500
发动机,エンジン,最大净功率(kW),最大出力(kW),128,128,128,128,128,128
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
