セクション,セクション_ja,項目,項目_ja,2024年モデル 40 e tron 創行版,2024年モデル 40 e tron 創境版,2024年モデル 50 e tron quattro 創境曜夜版,2024年モデル 50 e tron quattro 創享曜夜版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"28.99万元（日本円 約6,087,900円）","31.71万元（日本円 約6,659,100円）","33.27万元（日本円 約6,986,700円）","36.71万元（日本円 約7,709,100円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2023-11-01,2023-11-01,2023-11-01,2023-11-01
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),605,605,560,560
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.68,0.68,0.68,0.68
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),12,12,12,12
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),5-80,5-80,5-80,5-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,230,230
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,472,472
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),204,204,313,313
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4588×1865×1626,4588×1865×1626,4588×1865×1626,4588×1865×1626
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.8,8.8,6.8,6.8
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.3,3.3,3,3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.63,1.63,1.75,1.75
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2160,2160,2255,2255
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2640,2640,2720,2720
车身,車体,长度(mm),全長(mm),4588,4588,4588,4588
车身,車体,宽度(mm),全幅(mm),1865,1865,1865,1865
车身,車体,高度(mm),全高(mm),1626,1626,1626,1626
