セクション,セクション_ja,項目,項目_ja,2026年モデル ロングレンジ版,2026年モデル 初期限定 乾崑インテリジェントドライブ版,2026年モデル 超ロングレンジ版,2026年モデル quattro 乾崑インテリジェントドライブ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"30.98万元（日本円 約6,505,800円）","36.98万元（日本円 約7,765,800円）","34.98万元（日本円 約7,345,800円）","43.98万元（日本円 約9,235,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"30.98万元（日本円 約6,505,800円）","36.98万元（日本円 約7,765,800円）","34.98万元（日本円 約7,345,800円）","43.98万元（日本円 約9,235,800円）"
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2026-04-10,2026-04-10,2026-04-10,2026-04-10
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),720,745,815,721
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.35,0.35,0.35
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),215,260,265,405
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),460,540,515,779
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),292,354,360,551
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5073×1942×1522,5073×1950×1522,5073×1942×1522,5073×1950×1504
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.7,5.6,5.5,4.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.63,1.75,1.60,1.81
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2327,2313,2300,2445
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2746,2730,2717,2864
车身,車体,长度(mm),全長(mm),5073,5073,5073,5073
车身,車体,宽度(mm),全幅(mm),1942,1950,1942,1950
车身,車体,高度(mm),全高(mm),1522,1522,1522,1504
车身,車体,轴距(mm),ホイールベース(mm),3076,3076,3076,3076
车身,車体,前轮距(mm),前トレッド(mm),1691,1697,1697,1697
车身,車体,后轮距(mm),後トレッド(mm),1653,1649,1649,1649
车身,車体,接近角(°),アプローチアングル(°),12,12,12,12
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),27,27,27,27
车身,車体,后备厢容积(L),リアトランク容量(L),495,495,495,495
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,ZF
电动机,モーター,后电动机品牌,後モーターブランド,ZF,アウディ,ZF,ZF
电动机,モーター,前电动机型号,前モーター型式,-,-,-,YS215XYECZ
电动机,モーター,后电动机型号,後モーター型式,TZ215XYECY,TZ210XYECC,TZ215XYECY,TZ215XYECY
电动机,モーター,电机类型,モーター種類,永久磁石／同期,永久磁石／同期,永久磁石／同期,前誘導／非同期 後永久磁石／同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),215,260,265,405
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),292,354,360,551
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),460,540,515,779
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,135
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,249
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),215,260,265,270
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),460,540,515,530
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前置＋後置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),720,745,815,721
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),95,107,107,107
