セクション,項目,宋Ultra 2026款 DM-i 205KM 领先型,宋Ultra 2026款 DM-i 205KM 超越型,宋Ultra 2026款 DM-i 310KM 领先型,宋Ultra 2026款 DM-i 310KM 超越型,宋Ultra 2026款 DM-i 310KM 卓越型,宋Ultra 2026款 EV 605KM 领先型,宋Ultra 2026款 EV 605KM 超越型,宋Ultra 2026款 EV 710KM 超越型,宋Ultra 2026款 EV 710KM 卓越型
,厂商指导价(元),12.99万 计算器,13.99万 计算器,13.99万 计算器,14.99万 计算器,15.99万 计算器,15.19万 计算器,15.99万 计算器,16.99万 计算器,17.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-
基本参数,上市时间,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-03-26,2026-03-26,2026-03-26,2026-03-26
基本参数,WLTC纯电续航里程(km),143,143,205,205,205,-,-,-,-
基本参数,CLTC纯电续航里程(km),205,205,310,310,310,605,605,710,710
基本参数,电池快充时间(小时),0.28,0.28,0.28,0.28,0.28,0.15,0.15,0.15,0.15
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,10-97,10-97,10-97,10-97
基本参数,最大功率(kW),-,-,-,-,-,240,240,270,270
基本参数,最大扭矩(N·m),-,-,-,-,-,305,305,305,305
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
