セクション,項目,帕萨特插电混动 2025款 430PHEV 混动商务版,
,厂商指导价(元),21.715万 计算器,–
,经销商报价,14.72万起,–
基本参数,厂商,上汽大众,–
基本参数,级别,中型车,–
基本参数,能源类型,插电式混合动力,–
基本参数,环保标准,国VI,–
基本参数,上市时间,2024-09-25,–
基本参数,NEDC纯电续航里程(km),63,–
基本参数,WLTC纯电续航里程(km),52,–
基本参数,最大功率(kW),155,–
基本参数,最大扭矩(N·m),400,–
基本参数,变速箱,6挡湿式双离合,–
基本参数,车身结构,4门5座三厢车,–
基本参数,发动机,1.4T 150马力 L4,–
基本参数,电动机(Ps),116,–
基本参数,长*宽*高(mm),4948*1836*1469,–
基本参数,官方0-100km/h加速(s),7.7,–
基本参数,最高车速(km/h),200,–
基本参数,NEDC综合油耗(L/100km),1.4,–
基本参数,WLTC综合油耗(L/100km),2.23,–
基本参数,最低荷电状态油耗(L/100km),5.5,–
基本参数,电能当量燃料消耗量(L/100km),2.06,–
基本参数,整车质保,● 待查,–
基本参数,整备质量(kg),1750,–
基本参数,最大满载质量(kg),2210,–
车身,长度(mm),4948,–
车身,宽度(mm),1836,–
车身,高度(mm),1469,–
车身,轴距(mm),2871,–
车身,前轮距(mm),1584,–
车身,后轮距(mm),1570,–
车身,接近角(°),14,–
车身,离去角(°),14,–
车身,车身结构,三厢车,–
车身,车门开启方式,平开门,–
车身,车门数(个),● 4,–
车身,座位数(个),● 5,–
车身,油箱容积(L),50,–
车身,后备厢容积(L),400,–
车身,风阻系数(Cd),-,–
发动机,发动机型号,EA211-DXJ,–
发动机,排量(mL),1395,–
发动机,排量(L),1.4,–
发动机,进气形式,涡轮增压,–
发动机,发动机布局,横置,–
发动机,气缸排列形式,L,–
发动机,气缸数(个),4,–
发动机,每缸气门数(个),4,–
发动机,配气机构,DOHC,–
发动机,最大马力(Ps),150,–
发动机,最大功率(kW),110,–
发动机,最大功率转速(rpm),6000,–
发动机,最大扭矩(N·m),250,–
发动机,最大扭矩转速(rpm),1750-2000,–
发动机,最大净功率(kW),110,–
发动机,能源类型,插电式混合动力,–
发动机,燃油标号,95号,–
发动机,供油方式,直喷,–
发动机,缸盖材料,铝合金,–
发动机,缸体材料,铝合金,–
发动机,环保标准,国VI,–
电动机,电机类型,永磁/同步,–
电动机,电动机总功率(kW),85,–
电动机,电动机总马力(Ps),116,–
电动机,电动机总扭矩(N·m),330,–
电动机,前电动机最大功率(kW),85,–
电动机,前电动机最大扭矩(N·m),330,–
电动机,系统综合功率(kW),155,–
电动机,系统综合马力(Ps),211,–
电动机,系统综合扭矩(N·m),400,–
