セクション,項目,传祺GS8 2025款 领航系列 2.0TGDI 两驱豪华版 5座,传祺GS8 2025款 领航系列 2.0TGDI 四驱豪华版 5座,传祺GS8 2024款 领航系列 2.0TGDI 两驱豪华智联版 7座,传祺GS8 2024款 领航系列 2.0TGDI 四驱豪华智联版 7座
,厂商指导价(元),15.98万 计算器,17.28万 计算器,18.68万 计算器,20.58万 计算器
,经销商报价,14.48万起,15.78万起,17.18万起,19.08万起
基本参数,厂商,广汽传祺,广汽传祺,广汽传祺,广汽传祺
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2024-05-28,2024-11-20,2023-06-30,2023-06-30
基本参数,最大功率(kW),185,185,185,185
基本参数,最大扭矩(N·m),400,400,400,400
基本参数,变速箱,8挡自动,8挡自动,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV
基本参数,发动机,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4
基本参数,长*宽*高(mm),4980*1950*1780,4980*1950*1780,4980*1950*1780,4980*1950*1780
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,最高车速(km/h),210,210,210,200
基本参数,WLTC综合油耗(L/100km),8.6,9.2,8.6,9.2
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,整备质量(kg),1850,1953,1920,2000
基本参数,最大满载质量(kg),2460,2556,2460,2556
车身,长度(mm),4980,4980,4980,4980
车身,宽度(mm),1950,1950,1950,1950
车身,高度(mm),1780,1780,1780,1780
车身,轴距(mm),2920,2920,2920,2920
车身,前轮距(mm),1664,1664,1664,1664
车身,后轮距(mm),1676,1676,1676,1676
车身,满载最小离地间隙(mm),160,160,160,160
车身,空载最小离地间隙(mm),200,200,200,200
车身,接近角(°),18,18,18,18
车身,离去角(°),23,23,23,23
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 7,● 7
车身,油箱容积(L),65,65,65,65
车身,后备厢容积(L),-,-,-,-
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,4B20J1,4B20J1,4B20J1,4B20J1
发动机,排量(mL),1991,1991,1991,1991
发动机,排量(L),2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),252,252,252,252
发动机,最大功率(kW),185,185,185,185
发动机,最大功率转速(rpm),5250,5250,5250,5250
发动机,最大扭矩(N·m),400,400,400,400
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),170,170,170,170
发动机,发动机特有技术,DCVVT,DCVVT,DCVVT,DCVVT
发动机,能源类型,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI
