セクション,セクション_ja,項目,項目_ja,2026年モデル 100kWh,2026年モデル 100kWh 自然奇境版,2025年モデル 100kWh,2025年モデル 100kWh 30万台記念版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"33.80万元（日本円 約7,098,000円）","35.00万元（日本円 約7,350,000円）","33.80万元（日本円 約7,098,000円）","34.98万元（日本円 約7,345,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"33.80万元（日本円 約7,098,000円）","35.00万元（日本円 約7,350,000円）","33.80万元（日本円 約7,098,000円）","34.98万元（日本円 約7,345,800円）"
基本参数,基本仕様,厂商,メーカー,NIO,NIO,NIO,NIO
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2026-04-02,2026-04-02,2025-05-16,2025-11-17
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),650,630,650,650
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.6,0.6,0.6,0.6
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),360,360,360,360
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),700,700,700,700
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),490,490,490,490
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4854×1995×1703,4854×1995×1703,4854×1995×1703,4854×1995×1703
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.5,4.5,4.5,4.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.87,1.87,1.87,1.87
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km
