セクション,セクション_ja,項目,項目_ja,2026年モデル プラグインハイブリッド 125km 尊享型,2026年モデル 純電動 500km 尊享型,2025年モデル プラグインハイブリッド 125km 豪華型,2025年モデル 純電動 500km 豪華型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.18万元（日本円 約2,347,800円）","11.78万元（日本円 約2,473,800円）","10.38万元（日本円 約2,179,800円）","10.98万元（日本円 約2,305,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,コンパクトMPV,コンパクトMPV,コンパクトMPV,コンパクトMPV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,純電動,プラグインハイブリッド,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,-,国VI排ガス基準,-
基本参数,基本仕様,上市时间,発売時期,2026-04-27,2026-04-27,2025-11-12,2025-11-12
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),100,-,100,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),125,500,125,500
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.33,0.5,0.33
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),6.7,9.7,6.7,9.7
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),20-100,20-100,20-100,20-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,100,-,100
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,200,-,200
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,電気自動車用単速変速機,E-CVT無段変速,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,1.5L 106馬力 L4,純電動,1.5L 106馬力 L4,純電動
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),197,136,197,136
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4910×1850×1770（mm）,4910×1850×1770（mm）,4910×1850×1770（mm）,4910×1850×1770（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,160,170,160
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.83,-,1.83,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.3,-,5.3,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,1.58,-,1.58
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力総合燃料消費量(L/100km),3.71,-,3.71,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1818,1810,1818,1810
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2415,2405,2415,2405
车身,車体,长度(mm),全長(mm),4910,4910,4910,4910
车身,車体,宽度(mm),全幅(mm),1850,1850,1850,1850
车身,車体,高度(mm),全高(mm),1770,1770,1770,1770
车身,車体,轴距(mm),ホイールベース(mm),2910,2910,2910,2910
车身,車体,前轮距(mm),前トレッド(mm),1570,1570,1570,1570
车身,車体,后轮距(mm),後トレッド(mm),1570,1570,1570,1570
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),150,150,150,150
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV
