セクション,セクション_ja,項目,項目_ja,2026年モデル 405Air,2026年モデル 405Max,2026年モデル 506Pro+,2026年モデル 506Max+,2026年モデル 506Max,2026年モデル 405レーザー極智版,2026年モデル 506レーザー極智版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"7.99万元（日本円 約1,677,900円）","8.99万元（日本円 約1,887,900円）","9.59万元（日本円 約2,013,900円）","10.19万元（日本円 約2,139,900円）","9.99万元（日本円 約2,097,900円）","10.49万元（日本円 約2,202,900円）","11.49万元（日本円 約2,412,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.99万元（日本円 約1,467,900円）","7.99万元（日本円 約1,677,900円）","8.99万元（日本円 約1,887,900円）","9.59万元（日本円 約2,013,900円）","9.49万元（日本円 約1,992,900円）","10.49万元（日本円 約2,202,900円）","10.99万元（日本円 約2,307,900円）"
基本参数,基本仕様,厂商,メーカー,長安キヨン,長安キヨン,長安キヨン,長安キヨン,長安キヨン,長安キヨン,長安キヨン
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-11-21,2025-11-21,2026-04-10,2026-04-10,2025-11-21,2026-04-24,2026-04-24
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),405,405,506,506,506,405,506
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),120,120,120,120,120,120,120
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),190,190,190,190,190,190,190
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,163,163,163,163,163,163
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4435*1855*1600,4435*1855*1600,4435*1855*1600,4435*1855*1595,4435*1855*1600,4435*1855*1595,4435*1855*1595
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.31,1.31,1.36,1.36,1.36,1.31,1.36
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1435,1470,1550,1550,1550,1470,1550
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1870,1870,1950,1950,1950,1870,1950
