セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T ディーゼル版 長風,2026年モデル 2.0T 高地,2025年モデル 2.0T ディーゼル版,2025年モデル 2.0T 検閲官,2025年モデル 2.0T 長風,2024年モデル 2.0T メカニック,2024年モデル 2.0T エクスプローラー
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"19.88万元（日本円 約4,174,800円）","20.58万元（日本円 約4,321,800円）","16.59万元（日本円 約3,483,900円）","17.29万元（日本円 約3,630,900円）","18.88万元（日本円 約3,964,800円）","13.99万元（日本円 約2,937,900円）","15.99万元（日本円 約3,357,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"19.88万元（日本円 約4,174,800円）","20.58万元（日本円 約4,321,800円）","16.59万元（日本円 約3,483,900円）","17.29万元（日本円 約3,630,900円）","18.88万元（日本円 約3,964,800円）","13.99万元（日本円 約2,937,900円）","15.99万元（日本円 約3,357,900円）"
基本参数,基本仕様,厂商,メーカー,212オフロード車,212オフロード車,212オフロード車,212オフロード車,212オフロード車,212オフロード車,212オフロード車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ディーゼル,ガソリン,ディーゼル,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-12-12,2025-11-21,2025-10-15,2025-08-29,2024-11-15,2024-08-22,2024-08-22
基本参数,基本仕様,最大功率(kW),最大出力(kW),125,185,125,185,185,185,185
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),415,410,415,410,410,410,410
基本参数,基本仕様,变速箱,トランスミッション,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
