セクション,セクション_ja,項目,項目_ja,2024年モデル 後輪駆動 標準航続距離 ラグジュアリー版,2022年モデル 後輪駆動 長距離航続 ラグジュアリー版,2022年モデル 後輪駆動 長距離航続 プレミアム版,2022年モデル 4WD 高性能 プレミアム版,2025年モデル LYRIQ V
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.77万元（日本円 約6,251,700円）","37.97万元（日本円 約7,973,700円）","39.97万元（日本円 約8,393,700円）","41.97万元（日本円 約8,813,700円）",预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"25.77万元（日本円 約5,411,700円）","28.97万元（日本円 約6,083,700円）","30.97万元（日本円 約6,503,700円）","32.97万元（日本円 約6,923,700円）",暂无
基本参数,基本仕様,厂商,メーカー,上汽通用キャデラック,上汽通用キャデラック,上汽通用キャデラック,上汽通用キャデラック,上汽通用キャデラック
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2023-11-17,2022-06-06,2022-06-06,2022-06-06,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),502,653,653,608,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.55,0.67,0.67,0.67,-
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),11.4,15.5,15.5,15.5,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),20-80,20-80,20-80,20-80,-
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電範囲(%),0-100,0-100,0-100,0-100,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),250,255,255,375,443
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),440,440,440,710,-
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),340,347,347,510,602
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5003×1977×1637,5003×1977×1637,5003×1977×1637,5003×1977×1635,5013×1977×1627
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.9,6.35,6.35,4.6,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,210,210
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,1.76,1.76,1.89,-
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限
基本参数,基本仕様,整备质量(kg),車両重量(kg),2320,2535,2535,2600,2674
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2775,2998,2998,3065,3138
