セクション,項目,firefly萤火虫 2026款 自在版,firefly萤火虫 2026款 发光版,firefly萤火虫 2025款 自在版,firefly萤火虫 2025款 发光版
,厂商指导价(元),11.98万 计算器,12.58万 计算器,11.98万 计算器,12.58万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,蔚来,蔚来,蔚来,蔚来
基本参数,级别,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-04-07,2026-04-07,2025-04-19,2025-04-19
基本参数,CLTC纯电续航里程(km),420,420,420,420
基本参数,电池快充时间(小时),0.48,0.48,0.48,0.48
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80
基本参数,最大功率(kW),120,120,120,120
基本参数,最大扭矩(N·m),205,205,205,205
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),163,163,163,163
基本参数,长*宽*高(mm),4003*1781*1557,4003*1781*1557,4003*1781*1557,4003*1781*1557
基本参数,官方0-100km/h加速(s),8.1,8.1,8.1,8.1
基本参数,最高车速(km/h),150,150,150,150
基本参数,电能当量燃料消耗量(L/100km),1.27,1.27,1.27,1.27
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),1492,1492,1492,1492
基本参数,最大满载质量(kg),1875,1875,1875,1875
车身,长度(mm),4003,4003,4003,4003
车身,宽度(mm),1781,1781,1781,1781
车身,高度(mm),1557,1557,1557,1557
车身,轴距(mm),2615,2615,2615,2615
车身,前轮距(mm),1533,1533,1533,1533
车身,后轮距(mm),1540,1540,1540,1540
车身,接近角(°),21,21,21,21
车身,离去角(°),26,26,26,26
车身,最小转弯半径(m),4.7,4.7,4.7,4.7
车身,车身结构,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,前备厢容积(L),92,92,92,92
车身,后备厢容积(L),335-1253,335-1253,335-1253,335-1253
车身,风阻系数(Cd),-,-,-,-
电动机,后电动机品牌,蔚来动力,蔚来动力,蔚来动力,蔚来动力
电动机,后电动机型号,TZ160S012,TZ160S012,TZ160S010,TZ160S010
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,120,120
