セクション,セクション_ja,項目,項目_ja,2025年モデル Max版 55kWh,2025年モデル Ultra版 55kWh,2025年モデル Ultra版 70kWh,2025年モデル Hyper版 70kWh,2025年モデル 曜黒版 70kWh
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"46.59万元（日本円 約9,783,900円）","48.59万元（日本円 約10,203,900円）","50.09万元（日本円 約10,518,900円）","55.99万元（日本円 約11,757,900円）","59.99万元（日本円 約12,597,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"46.59万元（日本円 約9,783,900円）","48.59万元（日本円 約10,203,900円）","50.09万元（日本円 約10,518,900円）","55.99万元（日本円 約11,757,900円）","59.99万元（日本円 約12,597,900円）"
基本参数,基本仕様,厂商,メーカー,ジークリ,ジークリ,ジークリ,ジークリ,ジークリ
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-09-29,2025-09-29,2025-09-29,2025-09-29,2025-09-29
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),235,230,302,280,280
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),300,288,380,355,355
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.15,0.15,0.15,0.15,0.15
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),898,898,898,1401,1401
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5239×2019×1819,5239×2029×1819,5239×2029×1819,5239×2029×1819,5239×2029×1819
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),3.9,3.9,4.2,3.1,3.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),240,240,240,240,240
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.54,0.59,0.39,0.44,0.44
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,6.78,6.98,7.10,7.45,7.45
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.20,3.33,3.16,3.38,3.38
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2840,2970,3045,3150,3150
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3480,3545,3615,3660,3660
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),2000,2000,2000,2000,2000
车身,車体,长度(mm),全長(mm),5239,5239,5239,5239,5239
车身,車体,宽度(mm),全幅(mm),2019,2029,2029,2029,2029
车身,車体,高度(mm),全高(mm),1819,1819,1819,1819,1819
车身,車体,轴距(mm),ホイールベース(mm),3169,3169,3169,3169,3169
车身,車体,前轮距(mm),前トレッド(mm),1725,1725,1725,1734,1734
车身,車体,后轮距(mm),後トレッド(mm),1739,1739,1739,1748,1748
车身,車体,最小离地间隙(mm),最低地上高(mm),208,208,208,200,200
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21,21
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.95,5.95,5.95,5.95,5.95
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 6,● 6,● 6,● 6,● 6
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),470-2148,470-2148,470-2148,470-2148,470-2148
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ
发动机,エンジン,排量(mL),排気量(mL),1974,1974,1974,1974,1974
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),279,279,279,279,279
发动机,エンジン,最大功率(kW),最大出力(kW),205,205,205,205,205
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力(kW),202,202,202,202,202
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01
电动机,モーター,后电动机型号,後モーター型式,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),660,660,660,1030,1030
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),898,898,898,1401,1401
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),935,935,935,1410,1410
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),290,290,290,290,290
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),370,370,370,740,740
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,トリプルモーター,トリプルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,シャオヤオ電池,シャオヤオ電池,シャオヤオ電池,シャオヤオ電池,シャオヤオ電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),235,230,302,280,280
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),300,288,380,355,355
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1200,1160,1250,1165,1165
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),55,55,70,70,70
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),22.9,23.6,23.9,25.3,25.3
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,900,900,900,900,900
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.15,0.15,0.15,0.15,0.15
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),60,60,60,60,60
