セクション,セクション_ja,項目,項目_ja,2024年モデル 430km 快適版,2024年モデル 450km 快適プラス版,2024年モデル 430km プレミアム版,2024年モデル 450km プレミアムプラス版,2024年モデル 450km トラベル版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.28万元（日本円 約2,368,800円）","11.28万元（日本円 約2,368,800円）","11.58万元（日本円 約2,431,800円）","11.78万元（日本円 約2,473,800円）","16.89万元（日本円 約3,546,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2023-10-13,2024-07-08,2023-10-13,2024-07-08,2024-06-07
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),430,450,430,450,450
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),8.5,8.5,8.5,8.5,8.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),130,130,130,130,130
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),265,265,265,265,265
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),177,177,177,177,177
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4673×1817×1519,4650×1817×1519,4673×1817×1519,4650×1817×1519,4650×1817×1519
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3,3,3,3,3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,170,170,170
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.44,1.41,1.44,1.41,1.41
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1620,1640,1620,1640,1620
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2080,2080,2080,2080,2080
车身,車体,长度(mm),全長(mm),4673,4650,4673,4650,4650
车身,車体,宽度(mm),全幅(mm),1817,1817,1817,1817,1817
车身,車体,高度(mm),全高(mm),1519,1519,1519,1519,1519
车身,車体,轴距(mm),ホイールベース(mm),2660,2660,2660,2660,2660
车身,車体,前轮距(mm),前トレッド(mm),1545,1545,1545,1545,1545
车身,車体,后轮距(mm),後トレッド(mm),1556,1556,1556,1556,1556
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),455-1098,455-1098,455-1098,455-1098,455-1098
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,ユナイテッドオートモーティブ,ユナイテッドオートモーティブ,ユナイテッドオートモーティブ,ユナイテッドオートモーティブ,ユナイテッドオートモーティブ
电动机,モーター,前电动机型号,前モーター型式,TZ153XS136,TZ153XS136,TZ153XS136,TZ153XS136,TZ153XS136
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),130,130,130,130,130
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),177,177,177,177,177
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),265,265,265,265,265
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),130,130,130,130,130
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),265,265,265,265,265
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 時代上汽,● 時代上汽,● 時代上汽,● 時代上汽,● 時代上汽
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),430,450,430,450,450
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),50.3,50.3,50.3,50.3,50.3
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),12.7,12.5,12.7,12.5,12.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),8.5,8.5,8.5,8.5,8.5
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車右前側,車右前側,車右前側,車右前側,車右前側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車正面,車正面,車正面,車正面,車正面
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
