セクション,項目,零跑Lafa5 2026款 515 Plus,零跑Lafa5 2026款 515 Pro,零跑Lafa5 2026款 515 Max,零跑Lafa5 2026款 605 Pro,零跑Lafa5 2026款 605 Max,零跑Lafa5 2026款 500 Ultra,零跑Lafa5 2026款 600 Ultra
,厂商指导价(元),9.78万 计算器,10.58万 计算器,11.58万 计算器,11.18万 计算器,12.18万 计算器,12.38万 计算器,12.98万 计算器
,经销商报价,9.38万起,10.18万起,11.18万起,10.78万起,11.78万起,11.88万起,12.48万起
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-11-27,2025-11-27,2025-11-27,2025-11-27,2025-11-27,2026-04-24,2026-04-24
基本参数,CLTC纯电续航里程(km),515,515,515,605,605,500,600
基本参数,电池快充时间(小时),0.3,0.3,0.3,0.32,0.32,0.3,0.32
基本参数,电池慢充时间(小时),9.7,9.7,9.7,10.3,10.3,9.7,10.3
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),132,160,160,160,160,180,180
基本参数,最大扭矩(N·m),175,240,240,240,240,255,255
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),180,218,218,218,218,245,245
基本参数,长*宽*高(mm),4430*1880*1520,4430*1880*1520,4430*1880*1520,4430*1880*1520,4430*1880*1520,4490*1880*1510,4490*1880*1510
基本参数,官方0-100km/h加速(s),8.7,6.4,6.4,6.5,6.5,5.9,6.2
基本参数,最高车速(km/h),160,170,170,170,170,170,170
基本参数,电能当量燃料消耗量(L/100km),1.43,1.43,1.43,1.44,1.44,1.45,1.47
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1630,1665,1665,1715,1715,1665,1750
基本参数,最大满载质量(kg),2005,2040,2040,2090,2090,2040,2040
车身,长度(mm),4430,4430,4430,4430,4430,4490,4490
车身,宽度(mm),1880,1880,1880,1880,1880,1880,1880
车身,高度(mm),1520,1520,1520,1520,1520,1510,1510
车身,轴距(mm),2735,2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1606,1606,1606,1606,1606,1607,1607
车身,后轮距(mm),1608,1608,1608,1608,1608,1610,1610
车身,空载最小离地间隙(mm),154,154,154,154,154,127,127
车身,接近角(°),14,14,14,14,14,11,11
车身,离去角(°),22,22,22,22,22,22,22
车身,最小转弯半径(m),5.17,5.17,5.17,5.17,5.17,-,-
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),435-1400,435-1400,435-1400,435-1400,435-1400,435-1400,435-1400
车身,风阻系数(Cd),-,-,-,-,-,-,-
电动机,后电动机品牌,湖南中车时代,金华凌昇动力,金华凌昇动力,金华凌昇动力,金华凌昇动力,金华凌昇动力,金华凌昇动力
电动机,后电动机型号,TZ180XS101,TZ180XY005,TZ180XY005,TZ180XY005,TZ180XY005,TZ180QY073,TZ180QY073
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),132,160,160,160,160,180,180
电动机,电动机总马力(Ps),180,218,218,218,218,245,245
电动机,电动机总扭矩(N·m),175,240,240,240,240,255,255
