セクション,セクション_ja,項目,項目_ja,2026年モデル ホンモンコクウ 2.0L 快適版,2026年モデル ホンモンコクウ 2.0L 超快適版,2026年モデル ホンモンコクウ 2.0L インテリジェント超快適版,2026年モデル ホンモンコクウ 2.0T フラッグシップ版,2026年モデル HarmonyOSコックピット 2.0T S380マスター版,2025年モデル 2.0L XL TLS 悦享版,2025年モデル 2.0L SV 黒金版,2025年モデル 2.0T XV 尊享版,2024年モデル 2.0L XE 真心版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","15.79万元（日本円 約3,315,900円）","16.79万元（日本円 約3,525,900円）","18.29万元（日本円 約3,840,900円）","18.88万元（日本円 約3,964,800円）","19.12万元（日本円 約4,015,200円）","23.98万元（日本円 約5,035,800円）","17.98万元（日本円 約3,775,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","14.79万元（日本円 約3,105,900円）","15.79万元（日本円 約3,315,900円）","16.19万元（日本円 約3,399,900円）","13.13万元（日本円 約2,757,300円）","13.37万元（日本円 約2,807,700円）","18.23万元（日本円 約3,828,300円）","12.23万元（日本円 約2,568,300円）"
基本参数,基本仕様,厂商,メーカー,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産
基本参数,基本仕様,级别,クラス,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-11-21,2025-11-21,2025-11-21,2025-11-21,2026-02-24,2025-07-31,2025-07-31,2025-07-31,2024-09-13
基本参数,基本仕様,最大功率(kW),最大出力(kW),115,115,115,179,179,115,115,179,115
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),197,197,197,371,371,197,197,371,197
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速,CVT無段変速,CVT無段変速（8速マニュアルモード）,CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0T 243馬力 直列4気筒,2.0T 243馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0T 243馬力 直列4気筒,2.0L 156馬力 直列4気筒
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4920*1850*1447,4920*1850*1447,4920*1850*1447,4920*1850*1447,4920*1850*1447,4906×1850×1447mm,4906×1850×1447mm,4906×1850×1447mm,4906×1850×1447mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),197,197,197,225,225,197,197,225,197
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.41,6.41,6.41,7.12,7.12,6.41,6.41,7.12,6.41
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1518,1518,1518,1590,1590,1518,1518,1590,1460
