セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 220 スタート版,2026年モデル DM i 220 ナビゲーション版,2026年モデル DM i 220 インテリジェント航行版,2026年モデル DM i 305 ナビゲーション版,2026年モデル DM i 305 インテリジェント航行版,2025年モデル DM i インテリジェントドライブ版 75KM ラグジュアリー型,2025年モデル DM i 75KM ラグジュアリー型,2025年モデル DM i インテリジェントドライブ版 75KM プレミアム型,2025年モデル DM i 75KM プレミアム型,2025年モデル DM i インテリジェントドライブ版 115KM エグゼクティブ型,2025年モデル DM i 115KM エグゼクティブ型,2025年モデル DM i インテリジェントドライブ版 115KM フラッグシップ型,2025年モデル DM i 115KM フラッグシップ型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"9.79万元（日本円 約2,055,900円）","10.79万元（日本円 約2,265,900円）","11.79万元（日本円 約2,475,900円）","11.79万元（日本円 約2,475,900円）","12.79万元（日本円 約2,685,900円）","10.28万元（日本円 約2,158,800円）","11.28万元（日本円 約2,368,800円）","11.28万元（日本円 約2,368,800円）","12.28万元（日本円 約2,578,800円）","12.28万元（日本円 約2,578,800円）","13.28万元（日本円 約2,788,800円）","13.28万元（日本円 約2,788,800円）","14.28万元（日本円 約2,998,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"9.79万元（日本円 約2,055,900円）","10.79万元（日本円 約2,265,900円）","11.79万元（日本円 約2,475,900円）","11.79万元（日本円 約2,475,900円）","12.79万元（日本円 約2,685,900円）","9.48万元（日本円 約1,990,800円）","8.98万元（日本円 約1,885,800円）","10.48万元（日本円 約2,200,800円）","9.98万元（日本円 約2,095,800円）","11.48万元（日本円 約2,410,800円）","10.98万元（日本円 約2,305,800円）","12.48万元（日本円 約2,620,800円）","11.98万元（日本円 約2,515,800円）"
基本参数,基本仕様,厂商,メーカー,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2025-02-10,2024-09-23,2025-02-10,2024-09-23,2025-02-10,2024-09-23,2025-02-10,2024-09-23
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),151,151,155,205,205,64,64,64,64,93,93,93,93
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,220,305,305,75,75,75,75,115,115,115,115
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.27,0.27,0.27,0.31,0.31,-,-,-,-,0.57,0.57,0.57,0.57
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,-,-,-,-,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4,1.5L 101馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4620×1860×1630（mm）,4620×1860×1630（mm）,4620×1860×1630（mm）,4620×1860×1630（mm）,4620×1860×1630（mm）,4726×1880×1720（mm）,4710×1880×1720（mm）,4726×1880×1720（mm）,4710×1880×1720（mm）,4726×1880×1720（mm）,4710×1880×1720（mm）,4726×1880×1720（mm）,4710×1880×1720（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.4,8.4,8.4,8.6,8.6,8.3,8.3,8.3,8.3,8.5,8.5,8.5,8.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),175,175,175,175,175,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.76,0.76,0.74,0.58,0.58,1.86,1.86,1.86,1.86,1.14,1.14,1.14,1.14
