セクション,項目,别克至境世家 2026款 万家版,别克至境世家 2026款 尊享版,别克至境世家 2026款 奢享版,别克至境世家 2026款 纯电奢享版
,厂商指导价(元),41.99万 计算器,43.99万 计算器,46.99万 计算器,48.99万 计算器
,经销商报价,41.99万起,43.99万起,46.99万起,48.99万起
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,纯电动
基本参数,环保标准,国VI,国VI,国VI,-
基本参数,上市时间,2026-05-20,2025-12-05,2025-12-05,2026-03-17
基本参数,WLTC纯电续航里程(km),171,171,171,-
基本参数,CLTC纯电续航里程(km),224,224,224,601
基本参数,电池快充时间(小时),0.33,0.33,0.33,0.18
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,最大功率(kW),462,462,462,482
基本参数,最大扭矩(N·m),775,775,775,550
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,纯电动
基本参数,电动机(Ps),449,449,449,656
基本参数,长*宽*高(mm),5260*2000*1835,5260*2023*1820,5260*2023*1820,5260*2023*1820
基本参数,官方0-100km/h加速(s),5.8,5.8,5.8,5.1
基本参数,最高车速(km/h),180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.8,0.8,0.8,-
基本参数,最低荷电状态油耗(L/100km)WLTC,7.3,7.3,7.3,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,2.01
基本参数,油电综合燃料消耗量(L/100km),3.41,3.41,3.41,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2690,2690,2690,2800
基本参数,最大满载质量(kg),3277,3277,3277,3371
车身,长度(mm),5260,5260,5260,5260
车身,宽度(mm),2000,2023,2023,2023
车身,高度(mm),1835,1820,1820,1820
车身,轴距(mm),3160,3160,3160,3160
车身,前轮距(mm),1723,1726,1726,1726
车身,后轮距(mm),1726,1731,1731,1731
车身,接近角(°),14,14,14,13
车身,离去角(°),13,13,13,14
车身,车身结构,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7
车身,油箱容积(L),68,68,68,-
车身,后备厢容积(L),630-2056,630-2056,630-2056,630-2056
车身,风阻系数(Cd),0.258,0.258,0.258,0.258
发动机,发动机型号,LAX,LAX,LAX,-
发动机,排量(mL),1498,1498,1498,-
发动机,排量(L),1.5,1.5,1.5,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,-
发动机,发动机布局,横置,横置,横置,-
发动机,气缸排列形式,L,L,L,-
发动机,气缸数(个),4,4,4,-
发动机,每缸气门数(个),4,4,4,-
发动机,配气机构,DOHC,DOHC,DOHC,-
发动机,最大马力(Ps),180,180,180,-
