セクション,項目,奔驰GLC新能源 2026款 纯电版 350 L 4MATIC 鎏金版,奔驰GLC新能源 2025款 350 e L 4MATIC 典藏版,
,厂商指导价(元),33.98万 计算器,51.80万 计算器,–
,经销商报价,33.98万起,42.30万起,–
基本参数,厂商,北京奔驰,北京奔驰,–
基本参数,级别,中型SUV,中型SUV,–
基本参数,能源类型,纯电动,插电式混合动力,–
基本参数,环保标准,-,国VI,–
基本参数,上市时间,2026-07-08,2024-12-18,–
基本参数,WLTC纯电续航里程(km),-,115,–
基本参数,CLTC纯电续航里程(km),680,-,–
基本参数,电池快充时间(小时),0.37,0.5,–
基本参数,电池慢充时间(小时),13.5,4.5,–
基本参数,电池快充电量范围(%),10-80,10-80,–
基本参数,电池慢充电量范围(%),10-100,0-100,–
基本参数,最大功率(kW),310,250,–
基本参数,最大扭矩(N·m),800,600,–
基本参数,变速箱,2挡自动,9挡手自一体,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,发动机,纯电动,2.0T 204马力 L4,–
基本参数,电动机(Ps),422,156,–
基本参数,长*宽*高(mm),4933*1914*1710,4826*1938*1696,–
基本参数,官方0-100km/h加速(s),4.9,6.9,–
基本参数,最高车速(km/h),200,204,–
基本参数,WLTC综合油耗(L/100km),-,1.27,–
基本参数,最低荷电状态油耗(L/100km)WLTC,-,7.4,–
基本参数,电能当量燃料消耗量(L/100km),1.67,-,–
基本参数,油电综合燃料消耗量(L/100km),-,3.78,–
基本参数,整车质保,● 三年不限公里,● 三年不限公里,–
基本参数,整备质量(kg),2515,2420,–
基本参数,最大满载质量(kg),2985,2930,–
车身,长度(mm),4933,4826,–
车身,宽度(mm),1914,1938,–
车身,高度(mm),1710,1696,–
车身,轴距(mm),3027,2977,–
车身,前轮距(mm),1626,1624,–
车身,后轮距(mm),1643,1625,–
车身,接近角(°),19,23,–
车身,离去角(°),20,22,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,前备厢容积(L),128,-,–
车身,后备厢容积(L),605,385,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,-,254 920,–
发动机,排量(mL),-,1999,–
发动机,排量(L),-,2.0,–
发动机,进气形式,-,涡轮增压,–
发动机,发动机布局,-,纵置,–
发动机,气缸排列形式,-,L,–
发动机,气缸数(个),-,4,–
发动机,每缸气门数(个),-,4,–
发动机,配气机构,-,DOHC,–
发动机,最大马力(Ps),-,204,–
发动机,最大功率(kW),-,150,–
发动机,最大功率转速(rpm),-,6100,–
发动机,最大扭矩(N·m),-,320,–
发动机,最大扭矩转速(rpm),-,2000-4000,–
发动机,最大净功率(kW),-,150,–
发动机,能源类型,纯电动,插电式混合动力,–
发动机,燃油标号,-,95号,–
发动机,供油方式,-,直喷,–
发动机,缸盖材料,-,铝合金,–
发动机,缸体材料,-,铝合金,–
发动机,环保标准,-,国VI,–
电动机,前电动机品牌,Bosch,-,–
电动机,后电动机品牌,Mercedes-Benz,-,–
电动机,前电动机型号,EM0041,EM0017,–
电动机,后电动机型号,EM0037,-,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),310,115,–
电动机,电动机总马力(Ps),422,156,–
电动机,电动机总扭矩(N·m),800,440,–
电动机,前电动机最大功率(kW),163,115,–
电动机,前电动机最大扭矩(N·m),-,440,–
电动机,后电动机最大功率(kW),300,-,–
电动机,系统综合功率(kW),-,250,–
电动机,系统综合马力(Ps),-,340,–
电动机,系统综合扭矩(N·m),-,600,–
电动机,驱动电机数,双电机,单电机,–
电动机,电机布局,前置+后置,前置,–
电动机,三电系统质保,-,● 八年或12万公里,–
电池/充电,电池类型,● 三元锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,"● 宁德时代(福鼎时代)
● 宁德时代(蕉城时代)",● 弗迪,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),-,115,–
电池/充电,CLTC纯电续航里程(km),680,-,–
电池/充电,电池能量(kWh),89,30.9,–
电池/充电,百公里耗电量(kWh/100km),14.4,21.6,–
电池/充电,快充功能,支持,选装,–
电池/充电,快充功率(kW),320,60,–
电池/充电,高压快充,支持,-,–
电池/充电,高压平台（V）,800,-,–
电池/充电,电池快充时间(分钟),22,-,–
电池/充电,电池快充时间(小时),0.37,0.5,–
电池/充电,电池快充电量范围(%),10-80,10-80,–
电池/充电,电池慢充时间(小时),13.5,4.5,–
电池/充电,电池慢充电量范围(%),10-100,0-100,–
电池/充电,慢充接口位置,车右后侧,车右后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,–
变速箱,简称,2挡自动,9挡手自一体,–
变速箱,挡位个数,2,9,–
变速箱,变速箱类型,自动变速箱(AT),手自一体变速箱(AT),–
底盘转向,驱动方式,● 双电机四驱,● 前置四驱,–
底盘转向,四驱形式,● 电动四驱,● 适时四驱,–
底盘转向,中央差速器结构,-,● 多片离合器,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 多连杆式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 235/50 R20,● 235/55 R19,–
车轮制动,后轮胎规格,● 265/45 R20,● 255/50 R19,–
车轮制动,备胎规格,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,膝部气囊,"● 主驾膝部气囊
● 副驾膝部气囊",● 主驾膝部气囊,–
被动安全,前排中间气囊,●,●,–
被动安全,被动行人保护,-,●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,●,●,–
主动安全,DOW开门预警,●,-,–
主动安全,前方碰撞预警,●,●,–
主动安全,后方碰撞预警,●,-,–
主动安全,哨兵模式/千里眼,●,-,–
主动安全,低速行车警告,●,●,–
主动安全,内置行车记录仪,●,●,–
主动安全,道路救援呼叫,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化",–
驾驶操控,单踏板模式,●,-,–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,陡坡缓降,●,●,–
驾驶操控,可变悬架功能,"○ 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",–
驾驶操控,空气悬架,○,●,–
驾驶操控,空气悬挂类型,○ 双腔,-,–
驾驶操控,可变转向比,-,●,–
驾驶操控,整体主动转向系统,○,-,–
驾驶操控,后轮转向角度(°),○ ±4.5,-,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,–
驾驶硬件,前方感知摄像头,● 双目,"● 单目
○ 双目",–
驾驶硬件,摄像头数量,● 10个,"● 5个
○ 6个",–
驾驶硬件,车内摄像头数量,● 1个,-,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,–
驾驶硬件,毫米波雷达数量,● 5个,● 1个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● MB.DRIVE辅助驾驶Pro,-,–
驾驶功能,辅助驾驶等级,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,-,–
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,–
驾驶功能,AR实景导航,●,-,–
驾驶功能,并线辅助,●,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,车道居中保持,●,○,–
驾驶功能,道路交通标识识别,●,○,–
驾驶功能,辅助泊车入位,●,●,–
驾驶功能,循迹倒车,●,-,–
驾驶功能,辅助变道,●,○,–
驾驶功能,辅助匝道自动驶出(入),●,-,–
驾驶功能,信号灯识别,●,-,–
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段",-,–
外观/防盗,外观套件,○ 运动风格,● 运动风格,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,电动后备厢,●,●,–
外观/防盗,感应后备厢,●,●,–
外观/防盗,电动后备厢位置记忆,●,●,–
外观/防盗,车顶行李架,●,●,–
外观/防盗,发动机电子防盗,-,●,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,–
外观/防盗,隐藏电动门把手,●,-,–
外观/防盗,主动闭合式进气格栅,-,●,–
外观/防盗,远程启动功能,●,●,–
外观/防盗,车侧脚踏板,-,● 固定,–
外观/防盗,电池预加热,●,●,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,灯光特色功能,-,○ 数字式 (2.40万元),–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,●,●,–
车外灯光,自动头灯,●,●,–
车外灯光,转向头灯,-,○,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 可开启全景天窗,–
天窗/玻璃,星空天窗,●,-,–
天窗/玻璃,光感天幕,●,-,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,–
天窗/玻璃,后排侧隐私玻璃,○,-,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,–
天窗/玻璃,可加热喷水嘴,●,-,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,"● 14英寸
○ 39.1英寸 (1.02万元)",● 11.9英寸,–
互联/智能化,中控屏幕分辨率,○ 8K,-,–
互联/智能化,副驾娱乐屏尺寸,● 14英寸,-,–
互联/智能化,蓝牙/车载电话,●,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar",● 支持CarPlay,–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调",–
互联/智能化,语音助手唤醒词,● 你好，奔驰,● 你好，奔驰,–
互联/智能化,语音免唤醒词,●,●,–
互联/智能化,语音分区域唤醒识别,● 四区域,● 单区域,–
互联/智能化,语音连续识别,●,●,–
互联/智能化,可见即可说,●,●,–
互联/智能化,面部识别,●,-,–
互联/智能化,应用商店,●,●,–
互联/智能化,车载智能系统,● MB.OS,● MBUX,–
互联/智能化,车机智能芯片,● 高通骁龙8295,● 高通骁龙8295,–
互联/智能化,车机系统存储(GB),● 32,-,–
互联/智能化,车联网,●,●,–
互联/智能化,4G/5G网络,● 5G,● 5G,–
互联/智能化,OTA升级,●,●,–
互联/智能化,Wi-Fi热点,●,-,–
