セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD DCT ハッピー 5人乗り,2026年モデル 1.5TD DCT 幸福 5人乗り,2026年モデル 1.5TD DCT 幸福 7人乗り,2026年モデル 1.5TD DCT 満足 6人乗り,2026年モデル 1.5TD DCT 満足 7人乗り,2026年モデル 2.0TD DCT 満足 6人乗り,2026年モデル 2.0TD DCT 満足 7人乗り,2025年モデル 2.0T DCT 尊享モデル,2024年モデル 2.0T DCT 豪華型,2024年モデル 2.0T DCT 尊貴型,2024年モデル 2.0T DCT フラッグシップ型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"9.99万元（日本円 約2,097,900円）","10.99万元（日本円 約2,307,900円）","11.34万元（日本円 約2,381,400円）","11.99万元（日本円 約2,517,900円）","12.04万元（日本円 約2,528,400円）","12.99万元（日本円 約2,727,900円）","13.04万元（日本円 約2,738,400円）","15.39万元（日本円 約3,231,900円）","12.79万元（日本円 約2,685,900円）","13.79万元（日本円 約2,895,900円）","14.79万元（日本円 約3,105,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"8.99万元（日本円 約1,887,900円）","9.99万元（日本円 約2,097,900円）","10.34万元（日本円 約2,171,400円）","10.99万元（日本円 約2,307,900円）","11.04万元（日本円 約2,318,400円）","11.99万元（日本円 約2,517,900円）","12.04万元（日本円 約2,528,400円）","13.59万元（日本円 約2,853,900円）","10.99万元（日本円 約2,307,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）"
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-11-27,2025-11-27,2025-12-26,2025-11-27,2025-12-26,2025-11-27,2025-12-26,2024-10-15,2023-11-24,2023-11-24,2023-11-24
基本参数,基本仕様,最大功率(kW),最大出力(kW),133,133,133,133,133,160,160,160,160,160,160
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,290,325,325,325,325,325,325
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア6人乗りSUV,5ドア7人乗りSUV,5ドア6人乗りSUV,5ドア7人乗りSUV,5ドア6人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4,1.5T 181馬力 L4,2.0T 218馬力 L4,2.0T 218馬力 L4,2.0T 218馬力 L4,2.0T 218馬力 L4,2.0T 218馬力 L4,2.0T 218馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4865×1910×1770mm,4865×1910×1770mm,4865×1910×1770mm,4865×1910×1770mm,4865×1910×1770mm,4865×1910×1770mm,4865×1910×1770mm,4900×1910×1770mm,4860×1910×1770mm,4860×1910×1770mm,4860×1910×1770mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,7.9,7.9,7.9,7.9,7.9,7.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,185,185,185,210,210,210,210,210,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.3,7.3,7.5,7.5,7.5,7.89,7.89,7.89,7.89,7.89,7.89
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1615,1615,1690,1690,1690,1730,1730,1710,1710,1730,1730
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2060,2060,2260,2260,2260,2295,2295,2295,2295,2295,2295
车身,車体,长度(mm),全長(mm),4865,4865,4865,4865,4865,4865,4865,4900,4860,4860,4860
车身,車体,宽度(mm),全幅(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,車体,高度(mm),全高(mm),1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770
车身,車体,轴距(mm),ホイールベース(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,車体,前轮距(mm),前トレッド(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人,● 5人,● 5人,● 5人,● 5人,● 5人,● 5人,● 5人,● 5人,● 5人,● 5人
车身,車体,座位数(个),乗車定員(名),● 5人,● 5人,● 7人,● 6人,● 7人,● 6人,● 7人,● 6人,● 7人,● 7人,● 7人
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60,60,60,60,60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),162-2360,162-2360,162-2360,162-628,162-2360,162-628,162-2360,193-2360,193-2360,193-2360,193-2360
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.35,0.35,0.35,0.35,0.35,0.35,0.35,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,JLH-4G20TDJ,JLH-4G20TDJ,JLH-4G20TDJ,JLH-4G20TDJ,JLH-4G20TDJ,JLH-4G20TDJ
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499,1969,1969,1969,1969,1969,1969
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11,11,11,11,11,10.8,10.8,10.8,10.8,10.8,10.8
