セクション,項目,逸动 2026款 1.5L 蓝鲸超擎 劲享型,逸动 2026款 1.5L 蓝鲸超擎 悦享型,逸动 2026款 1.5L 蓝鲸超擎 智享型,逸动 2026款 1.5T 经典版,逸动 2026款 第四代 1.5T 500Bar 劲享型,逸动 2026款 第四代 1.5T 500Bar 悦享型,逸动 2026款 第四代 1.5T 500Bar 智享型,逸动 2025款 PLUS 1.5L 手动豪华版,逸动 2025款 PLUS 1.4T 双离合高能版,逸动 2025款 蓝鲸 1.5T 高能版,逸动 2025款 蓝鲸 1.5T 500Bar尊贵型,逸动 2025款 蓝鲸 1.5T 500Bar旗舰型
,厂商指导价(元),8.99万 计算器,9.39万 计算器,9.99万 计算器,8.79万 计算器,8.79万 计算器,9.39万 计算器,9.99万 计算器,7.29万 计算器,8.69万 计算器,8.39万 计算器,8.79万 计算器,9.69万 计算器
,经销商报价,7.99万起,8.39万起,8.99万起,6.49万起,7.29万起,7.89万起,8.49万起,5.29万起,6.39万起,6.39万起,6.49万起,7.69万起
基本参数,厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-24,2026-04-24,2026-04-24,2026-05-15,2025-09-07,2025-09-07,2025-09-07,2025-04-01,2025-04-15,2025-04-08,2025-04-08,2025-04-08
基本参数,最大功率(kW),-,-,-,141,141,141,141,81,118,125,141,141
基本参数,最大扭矩(N·m),-,-,-,310,310,310,310,152,260,260,310,310
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5L 110马力 L4,1.4T 160马力 L4,1.5T 170马力 L4,1.5T 192马力 L4,1.5T 192马力 L4
基本参数,电动机(Ps),218,218,218,-,-,-,-,-,-,-,-,-
