セクション,セクション_ja,項目,項目_ja,2026年モデル 530km エンジョイ版,2026年モデル 530km プレミアム版,2026年モデル 530km スムーズエンジョイ版,2026年モデル 530km コンフォートエンジョイ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.39万元（日本円 約3,231,900円）","16.19万元（日本円 約3,399,900円）","15.39万元（日本円 約3,231,900円）","16.19万元（日本円 約3,399,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"15.39万元（日本円 約3,231,900円）","16.19万元（日本円 約3,399,900円）","15.39万元（日本円 約3,231,900円）","16.19万元（日本円 約3,399,900円）"
基本参数,基本仕様,厂商,メーカー,東風風行,東風風行,東風風行,東風風行
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2026-02-28,2026-02-28,2026-03-02,2026-03-02
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),530,530,530,530
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),12,12,12,12
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),5-100,5-100,5-100,5-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),120,120,120,120
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),240,240,240,240
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,163,163,163
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4600×1860×1680,4600×1860×1680,4600×1860×1680,4600×1860×1680
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.60,1.60,1.60,1.60
基本参数,基本仕様,整车质保,車両保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1800,1800,-,-
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2175,2175,-,-
车身,車体,长度(mm),全長(mm),4600,4600,4600,4600
车身,車体,宽度(mm),全幅(mm),1860,1860,1860,1860
车身,車体,高度(mm),全高(mm),1680,1680,1680,1680
车身,車体,轴距(mm),ホイールベース(mm),2730,2730,2750,2750
车身,車体,前轮距(mm),前トレッド(mm),1590,1590,1590,1590
车身,車体,后轮距(mm),後トレッド(mm),1595,1595,1595,1595
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),27,27,27,27
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.9,5.9,5.9
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),468-1214,468-1214,468-1214,468-1214
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
电动机,モーター,前电动机品牌,前モーター ブランド,珠海イングボール,珠海イングボール,珠海イングボール,珠海イングボール
电动机,モーター,前电动机型号,前モーター 型式,TZ180XSX5G,TZ180XSX5G,TZ180XSX5G,TZ180XSX5G
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),120,120,120,120
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),163,163,163,163
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),240,240,240,240
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),120,120,120,120
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),240,240,240,240
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),530,530,530,530
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),64.4,64.4,64.4,64.4
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),13.8,13.8,13.8,13.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),12,12,12,12
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),5-100,5-100,5-100,5-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車左前側,車左前側,車左前側,車左前側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/65 R17,● 225/65 R17,● 225/65 R17,● 225/65 R17
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/65 R17,"● 225/65 R17
○ 235/60 R18",● 225/65 R17,● 225/65 R17
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
