セクション,項目,威然 2026款 330TSI 商务版,威然 2026款 380TSI 越享版,威然 2026款 380TSI 尊驰版,威然 2026款 380TSI 尊贵版,威然 2026款 380TSI 旗舰版,威然 2024款 330TSI 商务版,威然 2024款 330TSI 豪华版,威然 2024款 380TSI 尊驰版,威然 2024款 380TSI 尊贵版,威然 2024款 380TSI 旗舰版
,厂商指导价(元),28.98万 计算器,30.48万 计算器,32.48万 计算器,36.28万 计算器,40.28万 计算器,28.98万 计算器,30.98万 计算器,32.48万 计算器,36.28万 计算器,40.28万 计算器
,经销商报价,19.99万起,23.49万起,25.49万起,28.49万起,30.49万起,19.99万起,22.99万起,24.99万起,27.99万起,29.99万起
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-09-29,2025-09-29,2025-09-29,2025-09-29,2025-09-29,2023-08-25,2023-08-25,2023-08-25,2023-08-25,2023-08-25
基本参数,最大功率(kW),137,162,162,162,162,137,137,162,162,162
基本参数,最大扭矩(N·m),320,350,350,350,350,320,320,350,350,350
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
基本参数,长*宽*高(mm),5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),7.76,8.17,8.17,8.17,8.17,7.76,7.76,8.17,8.17,8.17
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2150,2190,2190,2190,2190,2150,2150,2190,2190,2190
基本参数,最大满载质量(kg),2710,2750,2750,2750,2750,2710,2710,2750,2750,2750
车身,长度(mm),5346,5346,5346,5346,5346,5346,5346,5346,5346,5346
车身,宽度(mm),1976,1976,1976,1976,1976,1976,1976,1976,1976,1976
车身,高度(mm),1781,1781,1781,1781,1781,1781,1781,1781,1781,1781
车身,轴距(mm),3180,3180,3180,3180,3180,3180,3180,3180,3180,3180
车身,前轮距(mm),1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
车身,后轮距(mm),1721,1721,1721,1721,1721,1721,1721,1721,1721,1721
车身,接近角(°),17,17,17,17,17,17,17,17,17,17
车身,离去角(°),15,15,15,15,15,15,15,15,15,15
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
车身,后备厢容积(L),436-2100,436-2100,436-2100,436-2100,436-2100,436-2100,436-2100,436-2100,436-2100,436-2100
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
