セクション,項目,奔驰GLE 2027款 350L 4MATIC 皓雅版,奔驰GLE 2027款 350L 4MATIC 晖银版,奔驰GLE 2027款 450L 4MATIC 鎏金版,奔驰GLE 2027款 450L 4MATIC 星铂版,奔驰GLE 2027款 450L 4MATIC 140周年纪念版
,厂商指导价(元),预售,预售,预售,预售,预售
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,-,-,-,-,-
基本参数,最大功率(kW),190,190,280,280,280
基本参数,最大扭矩(N·m),400,400,560,560,560
基本参数,变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 258马力 L4,2.0T 258马力 L4,3.0T 381马力 L6,3.0T 381马力 L6,3.0T 381马力 L6
基本参数,长*宽*高(mm),5051*2018*1794,5051*2018*1794,5051*2018*1784,5051*2018*1784,5051*2018*1789
基本参数,官方0-100km/h加速(s),7.4,7.4,5.5,5.5,5.5
基本参数,最高车速(km/h),218,218,250,250,250
基本参数,WLTC综合油耗(L/100km),8.86,8.86,9.3,9.3,9.7
基本参数,整车质保,-,-,-,-,-
基本参数,整备质量(kg),2366,2377,2450,2450,2450
基本参数,最大满载质量(kg),2900,2900,2960,2960,2960
车身,长度(mm),5051,5051,5051,5051,5051
车身,宽度(mm),2018,2018,2018,2018,2018
车身,高度(mm),1794,1794,1784,1784,1789
车身,轴距(mm),3115,3115,3115,3115,3115
车身,前轮距(mm),1682,1682,1682,1682,1682
车身,后轮距(mm),1731,1715,1715,1715,1715
车身,满载最小离地间隙(mm),271,271,271,271,271
车身,接近角(°),21,21,25,25,25
车身,离去角(°),24,24,27,27,28
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,254 820,254 820,256 830,256 830,256 830
发动机,排量(mL),1999,1999,2998,2998,2998
发动机,排量(L),2.0,2.0,3.0,3.0,3.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,6,6,6
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),258,258,381,381,381
发动机,最大功率(kW),190,190,280,280,280
发动机,最大功率转速(rpm),5800,5800,5000-6100,5000-6100,5000-6100
发动机,最大扭矩(N·m),400,400,560,560,560
发动机,最大扭矩转速(rpm),2000-3200,2000-3200,2000-4500,2000-4500,2000-4500
发动机,最大净功率(kW),190,190,280,280,280
发动机,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
变速箱,挡位个数,9,9,9,9,9
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
