セクション,項目,星光560新能源 2026款 插混 125km 豪华型,星光560新能源 2026款 纯电 500km 豪华型,
,厂商指导价(元),9.18万 计算器,9.88万 计算器,–
,经销商报价,8.88万起,9.58万起,–
基本参数,厂商,上汽通用五菱,上汽通用五菱,–
基本参数,级别,紧凑型SUV,紧凑型SUV,–
基本参数,能源类型,插电式混合动力,纯电动,–
基本参数,环保标准,国VI,-,–
基本参数,上市时间,2026-01-15,2026-01-15,–
基本参数,WLTC纯电续航里程(km),100,-,–
基本参数,CLTC纯电续航里程(km),125,500,–
基本参数,电池快充时间(小时),0.5,0.33,–
基本参数,电池慢充时间(小时),6.7,9.2,–
基本参数,电池快充电量范围(%),30-80,30-80,–
基本参数,电池慢充电量范围(%),20-100,20-100,–
基本参数,最大功率(kW),-,100,–
基本参数,最大扭矩(N·m),-,200,–
基本参数,变速箱,E-CVT无级变速,电动车单速变速箱,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,发动机,1.5L 106马力 L4,纯电动,–
基本参数,电动机(Ps),197,136,–
基本参数,长*宽*高(mm),4745*1850*1755,4745*1850*1755,–
基本参数,官方0-100km/h加速(s),-,-,–
基本参数,最高车速(km/h),170,160,–
基本参数,WLTC综合油耗(L/100km),1.83,-,–
基本参数,最低荷电状态油耗(L/100km)WLTC,5.3,-,–
基本参数,电能当量燃料消耗量(L/100km),-,1.52,–
基本参数,油电综合燃料消耗量(L/100km),3.62,-,–
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,–
基本参数,整备质量(kg),1685,1655,–
基本参数,最大满载质量(kg),2130,2090,–
车身,长度(mm),4745,4745,–
车身,宽度(mm),1850,1850,–
车身,高度(mm),1755,1755,–
车身,轴距(mm),2810,2810,–
车身,前轮距(mm),1570,1570,–
车身,后轮距(mm),1570,1570,–
车身,满载最小离地间隙(mm),160,160,–
车身,接近角(°),17,17,–
车身,离去角(°),22,22,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,油箱容积(L),52,-,–
车身,后备厢容积(L),-,-,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,LBG,-,–
发动机,排量(mL),1498,-,–
发动机,排量(L),1.5,-,–
发动机,进气形式,自然吸气,-,–
发动机,发动机布局,横置,-,–
发动机,气缸排列形式,L,-,–
发动机,气缸数(个),4,-,–
发动机,每缸气门数(个),4,-,–
发动机,配气机构,DOHC,-,–
发动机,最大马力(Ps),106,-,–
发动机,最大功率(kW),78,-,–
发动机,最大功率转速(rpm),5800,-,–
发动机,最大扭矩(N·m),130,-,–
发动机,最大扭矩转速(rpm),4600-5000,-,–
发动机,最大净功率(kW),75,-,–
发动机,能源类型,插电式混合动力,纯电动,–
发动机,燃油标号,92号,-,–
