セクション,項目,速腾 2026款 S 1.5L 时尚版,速腾 2026款 S 1.5L 舒享时尚版,速腾 2026款 S 1.5L 精英版,速腾 2026款 S 300TSI 豪华版,速腾 2026款 改款 3000万辆甄选款 300TSI DSG 飞越版,速腾 2026款 改款 3000万辆甄选款 300TSI DSG 超越版,速腾 2026款 L 300TSI DSG 时尚型,速腾 2026款 L 300TSI DSG 精英型,速腾 2026款 L 300TSI DSG 豪华型
,厂商指导价(元),9.38万 计算器,9.98万 计算器,10.48万 计算器,11.78万 计算器,11.99万 计算器,12.89万 计算器,14.79万 计算器,15.89万 计算器,16.49万 计算器
,经销商报价,7.98万起,8.78万起,9.28万起,10.58万起,9.30万起,10.20万起,11.49万起,12.59万起,13.19万起
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-02-28,2026-02-28,2025-09-09,2025-09-09,2025-09-09
基本参数,最大功率(kW),81,81,81,118,118,118,118,118,118
基本参数,最大扭矩(N·m),141,141,141,250,250,250,250,250,250
基本参数,变速箱,6挡自动,6挡自动,6挡自动,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4
基本参数,长*宽*高(mm),4702*1815*1484,4702*1815*1484,4702*1815*1484,4702*1815*1484,4791*1801*1465,4791*1801*1465,4812*1813*1479,4812*1813*1472,4812*1813*1472
基本参数,官方0-100km/h加速(s),-,-,-,8.3,8.8,8.8,8.7,8.7,8.7
基本参数,最高车速(km/h),190,190,190,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),6.06,6.06,6.06,5.49,5.77,5.77,5.49,5.55,5.55
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1300,1300,1324,1377,1418,1418,1440,1469,1469
基本参数,最大满载质量(kg),1780,1780,1780,1840,1890,1890,1930,1930,1930
车身,长度(mm),4702,4702,4702,4702,4791,4791,4812,4812,4812
车身,宽度(mm),1815,1815,1815,1815,1801,1801,1813,1813,1813
车身,高度(mm),1484,1484,1484,1484,1465,1465,1479,1472,1472
车身,轴距(mm),2688,2688,2688,2688,2731,2731,2731,2731,2731
车身,前轮距(mm),1546,1540,1540,1530,1543,1543,1573,1567,1567
车身,后轮距(mm),1519,1513,1513,1503,1546,1546,1546,1541,1541
车身,接近角(°),15,15,15,16,16,16,15,15,15
车身,离去角(°),13,13,13,14,14,14,14,14,14
车身,最小转弯半径(m),5.4,5.4,5.4,5.3,-,-,5.5,5.5,5.5
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,50,50,51,51,51
车身,后备厢容积(L),555,555,555,555,553,553,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,DRZ,DRZ,DRZ,DYZ,DSV,DSV,DYZ,DYZ,DYZ
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,压缩比,-,-,-,-,-,-,11.5,11.5,11.5
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),74.5,74.5,74.5,74.5,-,-,74.5,74.5,74.5
发动机,行程(mm),85.9,85.9,85.9,85.9,-,-,85.9,85.9,85.9
发动机,最大马力(Ps),110,110,110,160,160,160,160,160,160
发动机,最大功率(kW),81,81,81,118,118,118,118,118,118
发动机,最大功率转速(rpm),6000,6000,6000,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),141,141,141,250,250,250,250,250,250
发动机,最大扭矩转速(rpm),4000,4000,4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),81,81,81,118,118,118,118,118,118
发动机,发动机特有技术,-,-,-,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,95号,95号,95号,95号,95号,95号
发动机,最低燃油标号,-,-,-,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,6挡自动,6挡自动,6挡自动,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
