セクション,項目,仰望U8 2026款 豪华版,
,厂商指导价(元),100.80万 计算器,–
,经销商报价,100.80万起,–
基本参数,厂商,仰望,–
基本参数,级别,大型SUV,–
基本参数,能源类型,增程式,–
基本参数,环保标准,国VI,–
基本参数,上市时间,2026-03-05,–
基本参数,CLTC纯电续航里程(km),230,–
基本参数,电池快充时间(小时),0.15,–
基本参数,电池慢充时间(小时),8.4,–
基本参数,电池快充电量范围(%),10-97,–
基本参数,电池慢充电量范围(%),10-100,–
基本参数,最大功率(kW),880,–
基本参数,最大扭矩(N·m),1520,–
基本参数,变速箱,电动车单速变速箱,–
基本参数,车身结构,5门5座SUV,–
基本参数,发动机,2.0T 272马力 L4,–
基本参数,电动机(Ps),1197,–
基本参数,长*宽*高(mm),5319*2050*1930,–
基本参数,官方0-100km/h加速(s),3.5,–
基本参数,最高车速(km/h),200,–
基本参数,WLTC综合油耗(L/100km),1.26,–
基本参数,整车质保,● 六年或15万公里,–
基本参数,整备质量(kg),3590,–
基本参数,最大满载质量(kg),4095,–
基本参数,准拖挂车总质量(kg),2500,–
车身,长度(mm),5319,–
车身,宽度(mm),2050,–
车身,高度(mm),1930,–
车身,轴距(mm),3050,–
车身,前轮距(mm),1740,–
车身,后轮距(mm),1731,–
车身,最小离地间隙(mm),285,–
车身,接近角(°),36.5,–
车身,离去角(°),35.4,–
车身,纵向通过角(°),25.5,–
车身,最小转弯半径(m),5.76,–
车身,最大涉水深度(mm),1000,–
车身,车身结构,SUV,–
车身,车门开启方式,平开门,–
车身,车门数(个),● 5,–
车身,座位数(个),● 5,–
车身,油箱容积(L),90,–
车身,后备厢容积(L),1031-2050,–
车身,风阻系数(Cd),-,–
发动机,发动机型号,BYD487ZQD,–
发动机,排量(mL),1997,–
发动机,排量(L),2.0,–
发动机,进气形式,涡轮增压,–
发动机,发动机布局,横置,–
发动机,气缸排列形式,L,–
发动机,气缸数(个),4,–
发动机,每缸气门数(个),4,–
发动机,配气机构,DOHC,–
发动机,最大马力(Ps),272,–
发动机,最大功率(kW),200,–
发动机,最大功率转速(rpm),-,–
发动机,最大扭矩(N·m),-,–
发动机,最大扭矩转速(rpm),-,–
发动机,最大净功率(kW),180,–
发动机,能源类型,增程式,–
发动机,燃油标号,92号,–
发动机,供油方式,直喷,–
发动机,缸盖材料,铝合金,–
发动机,缸体材料,铝合金,–
发动机,环保标准,国VI,–
电动机,前电动机品牌,比亚迪,–
电动机,后电动机品牌,比亚迪,–
电动机,前电动机型号,TZ220XYP+TZ220XYN,–
电动机,后电动机型号,TZ220XYP+TZ220XYA,–
电动机,电机类型,永磁/同步,–
电动机,电动机总功率(kW),880,–
电动机,电动机总马力(Ps),1197,–
电动机,电动机总扭矩(N·m),1520,–
电动机,前电动机最大功率(kW),440,–
电动机,前电动机最大扭矩(N·m),760,–
电动机,后电动机最大功率(kW),440,–
电动机,后电动机最大扭矩(N·m),760,–
电动机,系统综合功率(kW),880,–
电动机,系统综合马力(Ps),1197,–
电动机,系统综合扭矩(N·m),1520,–
电动机,驱动电机数,四电机,–
电动机,电机布局,前置+后置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 弗迪,–
电池/充电,电池特有技术,第二代刀片电池,–
电池/充电,电池冷却方式,直冷,–
电池/充电,CLTC纯电续航里程(km),230,–
