セクション,セクション_ja,項目,項目_ja,2026年モデル インテリジェントラグジュアリー版,2026年モデル スマートラグジュアリー版,2026年モデル スマートプレミアム版,2026年モデル スマートフラッグシップ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"18.98万元（日本円 約3,985,800円）","22.98万元（日本円 約4,825,800円）","24.98万元（日本円 約5,245,800円）","29.98万元（日本円 約6,295,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"17.98万元（日本円 約3,775,800円）","21.98万元（日本円 約4,615,800円）","23.98万元（日本円 約5,035,800円）","28.98万元（日本円 約6,085,800円）"
基本参数,基本仕様,厂商,メーカー,昊铂,昊铂,昊铂,昊铂
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2026-03-04,2026-03-04,2026-03-04,2026-03-04
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),178,178,178,163
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,220,200
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.3,0.3
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),200,200,200,440
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),305,305,305,650
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),272,272,272,598
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5130×1966×1500,5130×1966×1500,5130×1966×1492,5130×1998×1500
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.4,7.4,7.4,4.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,185,185
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.54,0.54,0.54,0.69
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.74,5.74,5.74,6.35
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低荷電状態燃費(L/100km)CLTC,5.04,5.04,5.04,5.7
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.64,2.64,2.64,3.13
