セクション,項目,魏牌 V9X 2026款 豪华加长版,魏牌 V9X 2026款 豪华家庭版,魏牌 V9X 2026款 行政加长版,
,厂商指导价(元),34.98万 计算器,35.98万 计算器,38.98万 计算器,–
,经销商报价,34.98万起,35.98万起,38.98万起,–
基本参数,厂商,长城汽车,长城汽车,长城汽车,–
基本参数,级别,大型SUV,大型SUV,大型SUV,–
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2026-05-18,2026-05-18,2026-05-18,–
基本参数,WLTC纯电续航里程(km),240,312,363,–
基本参数,CLTC纯电续航里程(km),310,402,470,–
基本参数,电池快充时间(小时),0.25,0.15,0.15,–
基本参数,电池慢充时间(小时),8.2,10.4,11.1,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,电池慢充电量范围(%),15-100,15-100,15-100,–
基本参数,最大功率(kW),510,500,550,–
基本参数,最大扭矩(N·m),862,930,930,–
基本参数,变速箱,4挡DHT,4挡DHT,4挡DHT,–
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,–
基本参数,发动机,2.0T 238马力 L4,2.0T 238马力 L4,2.0T 238马力 L4,–
基本参数,电动机(Ps),462,449,517,–
基本参数,长*宽*高(mm),5299*2025*1825,5205*2025*1825,5299*2025*1825,–
基本参数,官方0-100km/h加速(s),4.9,4.9,4.6,–
基本参数,最高车速(km/h),210,225,225,–
基本参数,WLTC综合油耗(L/100km),0.56,0.19,0.08,–
基本参数,最低荷电状态油耗(L/100km)WLTC,6.2,6.2,6.3,–
基本参数,油电综合燃料消耗量(L/100km),3.31,2.96,2.89,–
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,–
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,–
基本参数,整备质量(kg),2740,2830,2890,–
基本参数,最大满载质量(kg),3350,3365,3500,–
基本参数,准拖挂车总质量(kg),2000,-,2000,–
车身,长度(mm),5299,5205,5299,–
车身,宽度(mm),2025,2025,2025,–
车身,高度(mm),1825,1825,1825,–
车身,轴距(mm),3150,3050,3150,–
车身,前轮距(mm),1736,1736,1736,–
车身,后轮距(mm),1726,1726,1726,–
车身,接近角(°),19,18,19,–
车身,离去角(°),21,20,21,–
车身,最小转弯半径(m),5.1,5,5.1,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 6,● 6,● 6,–
车身,油箱容积(L),70,65,65,–
车身,后备厢容积(L),244-1024,244-1024,244-1024,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,E20NB,E20NB,E20NB,–
发动机,排量(mL),1998,1998,1998,–
发动机,排量(L),2.0,2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),238,238,238,–
发动机,最大功率(kW),175,175,175,–
发动机,最大功率转速(rpm),-,-,-,–
发动机,最大扭矩(N·m),385,385,385,–
发动机,最大扭矩转速(rpm),-,-,-,–
发动机,最大净功率(kW),170,170,170,–
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
发动机,燃油标号,95号,95号,95号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),340,330,380,–
电动机,电动机总马力(Ps),462,449,517,–
电动机,电动机总扭矩(N·m),482,550,550,–
电动机,前电动机最大功率(kW),100,110,110,–
电动机,前电动机最大扭矩(N·m),170,170,170,–
电动机,后电动机最大功率(kW),240,220,270,–
电动机,后电动机最大扭矩(N·m),312,380,380,–
电动机,系统综合功率(kW),510,500,550,–
电动机,系统综合马力(Ps),694,680,748,–
电动机,系统综合扭矩(N·m),862,930,930,–
电动机,驱动电机数,双电机,双电机,双电机,–
电动机,电机布局,前置+后置,前置+后置,前置+后置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),240,312,363,–
电池/充电,CLTC纯电续航里程(km),310,402,470,–
