セクション,項目,问界M6 2026款 纯电 两驱MAX+ 长续航版,问界M6 2026款 纯电 四驱Ultra,问界M6 2026款 增程 四驱MAX+,问界M6 2026款 增程 四驱Ultra
,厂商指导价(元),预售,预售,预售,预售
,经销商报价,28.98万起,30.98万起,26.98万起,28.98万起
基本参数,厂商,AITO 问界,AITO 问界,AITO 问界,AITO 问界
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,纯电动,纯电动,增程式,增程式
基本参数,上市时间,-,-,-,-
基本参数,WLTC纯电续航里程(km),-,-,180,-
基本参数,CLTC纯电续航里程(km),760,705,-,-
基本参数,最大功率(kW),227,340,345,345
基本参数,最大扭矩(N·m),-,-,-,-
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,纯电动,纯电动,-,-
基本参数,电动机(Ps),309,462,469,469
基本参数,长*宽*高(mm),4960*1985*1736,4960*1985*1736,4960*1985*1736,4960*1985*1736
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,最高车速(km/h),200,200,200,200
基本参数,WLTC综合油耗(L/100km),-,-,0.76,0.76
基本参数,最低荷电状态油耗(L/100km)WLTC,-,-,6.1,6.1
基本参数,整车质保,-,-,-,-
基本参数,整备质量(kg),2395,2515,2545,2545
基本参数,最大满载质量(kg),2835,2940,2920,2920
车身,长度(mm),4960,4960,4960,4960
车身,宽度(mm),1985,1985,1985,1985
车身,高度(mm),1736,1736,1736,1736
车身,轴距(mm),2950,2950,2950,2950
车身,前轮距(mm),1708,1708,1708,1708
车身,后轮距(mm),1706,1706,1706,1706
车身,接近角(°),18,18,18,18
车身,离去角(°),21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),-,-,-,-
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,-,-,M15T,M15T
发动机,排量(mL),-,-,1496,1496
发动机,排量(L),-,-,1.5,1.5
发动机,进气形式,-,-,涡轮增压,涡轮增压
发动机,气缸排列形式,-,-,-,-
发动机,气缸数(个),-,-,-,-
发动机,每缸气门数(个),-,-,-,-
发动机,配气机构,-,-,-,-
发动机,最大马力(Ps),-,-,152,152
发动机,最大功率(kW),-,-,112,112
发动机,最大功率转速(rpm),-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-
发动机,最大净功率(kW),-,-,110,110
发动机,能源类型,纯电动,纯电动,增程式,增程式
发动机,燃油标号,-,-,-,-
发动机,供油方式,-,-,-,-
发动机,缸盖材料,-,-,-,-
发动机,缸体材料,-,-,-,-
电动机,前电动机品牌,-,华为数字,华为数字,华为数字
电动机,后电动机品牌,华为数字,华为数字,华为数字,华为数字
电动机,前电动机型号,-,YS210XYA03,YS210XYA51,YS210XYA51
电动机,后电动机型号,QT67TZ210D01,TZ180XYD01,TZ180XYC01,TZ180XYC01
电动机,电机类型,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步
电动机,电动机总功率(kW),227,340,345,345
电动机,电动机总马力(Ps),309,462,469,469
电动机,前电动机最大功率(kW),-,160,165,165
电动机,后电动机最大功率(kW),227,180,180,180
电动机,驱动电机数,单电机,双电机,双电机,双电机
电动机,电机布局,后置,前置+后置,前置+后置,前置+后置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),-,-,180,-
