セクション,セクション_ja,項目,項目_ja,2025年モデル 宗師シリーズ スーパーHV版,2024年モデル 領秀シリーズ 390T ラグジュアリー版,2024年モデル 領秀シリーズ 390T プレミアム版,2024年モデル 大師シリーズ 400T プレミアム版,2024年モデル 宗師シリーズ 400T パイオニア版,2024年モデル 宗師シリーズ 400T プレミアムエディション,2024年モデル 宗師シリーズ 400T テクノロジーケア版,2024年モデル 大師シリーズ スーパーHV版,2023年モデル 宗師シリーズ 400T フラッグシップ版,2026年モデル HEV プレミアム版,2026年モデル HEV プレミアムエディション
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"28.68万元（日本円 約6,022,800円）","17.98万元（日本円 約3,775,800円）","19.28万元（日本円 約4,048,800円）","22.98万元（日本円 約4,825,800円）","29.58万元（日本円 約6,211,800円）","26.98万元（日本円 約5,665,800円）","32.68万元（日本円 約6,862,800円）","26.68万元（日本円 約5,602,800円）","28.98万元（日本円 約6,085,800円）",预售,预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"25.68万元（日本円 約5,392,800円）","14.98万元（日本円 約3,145,800円）","16.28万元（日本円 約3,418,800円）","19.98万元（日本円 約4,195,800円）","26.58万元（日本円 約5,581,800円）","23.98万元（日本円 約5,035,800円）","29.68万元（日本円 約6,232,800円）","23.68万元（日本円 約4,972,800円）","25.98万元（日本円 約5,455,800円）","22.98万元（日本円 約4,825,800円）","24.98万元（日本円 約5,245,800円）"
基本参数,基本仕様,厂商,メーカー,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺,広汽伝祺
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ガソリン,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024-11-09,2024-05-28,2024-05-28,2023-07-15,2024-02-24,2024-05-31,2024-09-19,2024-05-31,2022-11-08,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,185,185,185,185,185,185,-,185,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,390,390,400,400,400,400,-,400,-,-
基本参数,基本仕様,变速箱,トランスミッション,2速DHT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,2速DHT,8速AT,2速DHT,2速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,2.0T 190馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 190馬力 L4,2.0T 252馬力 L4,2.0T 190馬力 L4,2.0T 190馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),182,-,-,-,-,-,-,182,-,0,0
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5212×1893×1823mm,5089×1884×1822mm,5089×1884×1822mm,5212×1893×1823mm,5212×1893×1823mm,5212×1893×1823mm,5212×1893×1823mm,5212×1893×1823mm,5212×1893×1823mm,5212×1893×1823mm,5212×1893×1823mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,200,200,200,200,200,200,170,200,170,170
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,-,8.54,8.54,8.54,8.54,-,8.54,-,-
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.15,8.85,8.85,8.95,8.95,8.95,8.95,6.15,8.95,6.15,6.15
