セクション,項目,铂智4X 2025款 615 Air版,铂智4X 2025款 615 Pro版,铂智4X 2025款 615 Max版,铂智4X 2025款 560 四驱Max版,铂智4X 2024款 615 AIR版,铂智4X 2024款 615 PRO版,铂智4X 2024款 615 MAX版,铂智4X 2024款 560 四驱MAX版
,厂商指导价(元),17.98万 计算器,19.98万 计算器,21.98万 计算器,23.88万 计算器,17.98万 计算器,19.98万 计算器,21.98万 计算器,23.88万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2024-11-15,2024-11-15,2024-11-15,2024-11-15,2023-11-17,2023-11-17,2023-11-17,2023-11-17
基本参数,CLTC纯电续航里程(km),615,615,615,560,615,615,615,560
基本参数,电池快充时间(小时),0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5
基本参数,电池慢充时间(小时),10,10,10,10,10,10,10,10
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),150,150,150,160,150,150,150,160
基本参数,最大扭矩(N·m),266.3,266.3,266.3,337,266.3,266.3,266.3,337
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),204,204,204,218,204,204,204,218
基本参数,长*宽*高(mm),4690*1860*1650,4690*1860*1650,4690*1860*1650,4690*1860*1650,4690*1860*1650,4690*1860*1650,4690*1860*1650,4690*1860*1650
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.8,3.8,3.8,3.4,3.8,3.8,3.8,3.4
基本参数,最高车速(km/h),160,160,160,160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.35,1.35,1.35,1.52,1.31,1.31,1.31,1.48
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-,-,-,-
基本参数,整备质量(kg),1865,1865,1905,2000,1865,1865,1905,2000
基本参数,最大满载质量(kg),2465,2465,2465,2550,2465,2465,2465,2550
车身,长度(mm),4690,4690,4690,4690,4690,4690,4690,4690
车身,宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860
车身,高度(mm),1650,1650,1650,1650,1650,1650,1650,1650
车身,轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610
车身,接近角(°),15,15,15,15,15,15,15,15
车身,离去角(°),23,23,23,23,23,23,23,23
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),452,452,452,452,452,452,452,452
车身,风阻系数(Cd),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
电动机,前电动机品牌,爱信,爱信,爱信,爱信,-,-,-,-
电动机,后电动机品牌,-,-,-,爱信,-,-,-,-
电动机,前电动机型号,1XM,1XM,1XM,1YM,-,-,-,-
电动机,后电动机型号,-,-,-,1YM,-,-,-,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),150,150,150,160,150,150,150,160
电动机,电动机总马力(Ps),204,204,204,218,204,204,204,218
电动机,电动机总扭矩(N·m),266.3,266.3,266.3,337,266.3,266.3,266.3,337
电动机,前电动机最大功率(kW),150,150,150,80,150,150,150,80
电动机,前电动机最大扭矩(N·m),266.3,266.3,266.3,168.5,266.3,266.3,266.3,168.5
电动机,后电动机最大功率(kW),-,-,-,80,-,-,-,80
电动机,后电动机最大扭矩(N·m),-,-,-,168.5,-,-,-,168.5
电动机,驱动电机数,单电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机
电动机,电机布局,前置,前置,前置,前置+后置,前置,前置,前置,前置+后置
电动机,三电系统质保,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,换电,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,CLTC纯电续航里程(km),615,615,615,560,615,615,615,560
电池/充电,电池能量(kWh),66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7
电池/充电,电池能量密度(Wh/kg),155.48,155.48,155.48,155.48,155.48,155.48,155.48,155.48
电池/充电,百公里耗电量(kWh/100km),11.6,11.6,11.6,13.1,11.6,11.6,11.6,13.1
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),10,10,10,10,10,10,10,10
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,-,-,-,-
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,-,-,-,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 双电机四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,● 电动四驱,-,-,-,● 电动四驱
