セクション,セクション_ja,項目,項目_ja,2026年モデル Hi4 T,2026年モデル Hi4 T 智享版,2026年モデル Hi4 T ブラックウォリアー,2026年モデル Hi4 Z 智享版,2026年モデル Hi4 Z ブラックウォリアー
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"33.50万元（日本円 約7,035,000円）","35.50万元（日本円 約7,455,000円）","36.50万元（日本円 約7,665,000円）","37.50万元（日本円 約7,875,000円）","38.50万元（日本円 約8,085,000円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-08-27,2025-08-27,2026-04-15,2025-08-27,2026-04-15
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),110,110,110,201,201
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.27,0.27,0.27,0.25,0.25
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),6.5,6.5,6.5,7.5,7.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),15-100,15-100,15-100,20-100,20-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),310,310,310,635,635
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),750,750,750,1195,1195
基本参数,基本仕様,变速箱,トランスミッション,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,3速DHT,3速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 252馬力 L4エンジン,2.0T 252馬力 L4エンジン,2.0T 252馬力 L4エンジン,2.0T 252馬力 L4エンジン,2.0T 252馬力 L4エンジン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),177,177,177,619,619
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長5078×全幅1934×全高1905mm,全長5078×全幅1934×全高1905mm,全長5078×全幅1934×全高1905mm,全長5078×全幅1934×全高1905mm,全長5078×全幅1934×全高1905mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.9,6.9,6.9,4.3,4.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),2.16,2.16,2.16,0.85,0.85
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,8.35,8.35,8.35,8.25,8.25
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),4.90,4.90,4.90,3.93,3.93
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2830,2830,2830,2980,2980
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3330,3330,3330,3430,3430
基本参数,基本仕様,准拖挂车总质量(kg),準けん引車総重量(kg),2500,2500,2500,2500,2500
车身,車体,长度(mm),全長(mm),5078,5078,5078,5078,5078
车身,車体,宽度(mm),全幅(mm),1934,1934,1934,1934,1934
车身,車体,高度(mm),全高(mm),1905,1905,1905,1905,1905
车身,車体,轴距(mm),ホイールベース(mm),2850,2850,2850,2850,2850
车身,車体,前轮距(mm),前トレッド(mm),1635,1635,1635,1635,1635
车身,車体,后轮距(mm),後トレッド(mm),1635,1635,1635,1635,1635
车身,車体,最小离地间隙(mm),最低地上高(mm),213,213,213,210,210
车身,車体,接近角(°),アプローチアングル(°),30,30,30,29,29
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
